Sl. No,Polling Station No,R KARTHIKEYAN.,J BADUSHA. SULTHAN,LARENEG EMAN K NAGAJOTHI.,EHT V MUNIYASAMY.,S SROTCELE,C VETRIKUMARAN.,OT NI,K K. THIRUVALAVAN. ARASU,ANBUMANIKANDAN TAMILSOORIYAN.K,K BASHA. SULTHAN,B SEBASTHIYAN.,IARUDAM M PREMKUMAR.,TSEW N RAMU.,M VENKATESAN.,rednet de,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
175,112,183,7,243,1,0,1,54,50,1,0,0,0,0,2,0,3,545,0,545,0
176,113,201,5,266,1,0,4,38,51,0,0,0,0,0,0,1,1,568,0,568,0
177,114,173,4,135,0,0,0,27,45,1,0,0,0,0,0,1,5,391,0,391,0
178,114(A),163,5,207,1,0,4,17,27,0,0,0,0,2,0,1,1,428,0,428,0
179,115,216,7,241,3,0,9,34,60,0,1,0,0,0,3,1,3,578,0,578,0
180,116,277,14,238,2,0,9,48,89,2,0,1,1,1,4,1,1,688,0,688,0
181,117,136,8,97,0,1,5,29,50,1,0,0,0,0,0,1,0,328,0,328,0
182,117(A),137,5,123,1,0,7,37,26,0,1,0,0,0,0,0,2,339,0,339,0
183,118,281,13,197,0,0,13,44,63,2,0,0,0,0,2,1,6,622,0,622,0
184,119,188,8,157,0,0,7,57,49,0,0,0,2,0,2,0,6,476,0,476,0
185,119(A),149,3,184,1,0,8,30,26,0,0,0,0,0,3,0,2,406,0,406,0
186,120,240,18,211,0,0,6,49,44,0,0,1,0,0,2,0,2,573,0,573,0
187,121,167,8,148,1,1,4,29,41,1,0,0,0,0,2,0,2,404,0,404,0
188,121(A),174,1,173,0,0,6,35,27,0,0,0,0,0,0,1,1,418,0,418,0
189,122,246,15,329,0,0,9,41,59,0,1,0,0,1,2,0,3,706,0,706,0
190,123,186,5,227,0,0,4,40,49,1,1,0,1,0,0,0,4,518,0,518,0
191,124,184,12,193,0,0,7,47,56,0,0,1,0,0,0,0,4,504,0,504,0
