Sl. No,Polling Station No,M ALAGAR MNM,S ANBARASI Katchi,S VASANTHAKUMAR,LARENEG EMAN J M VOLTAIRE Centre (Communist) CPI,EHT M JEYAPAL Kazagam,S SROTCELE J SITHICK ABUBAKKAR,OT T VISHWAKARMA RAAM,D ISMAIL,N KUPPUSAMY,. J KESAVARAJAH,P SANKARAPANDI,IARUDAM,K THEIVAMMAL,HTRON R NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
169,117,127,256,66,66,2,2,9,0,0,2,0,0,0,0,0,3,533,0,533,0
170,118,158,179,35,51,0,0,5,0,2,1,0,0,0,0,0,5,436,0,436,0
171,119,103,196,18,59,0,0,16,0,0,0,0,1,0,1,1,3,398,0,398,0
172,119(A),154,202,10,31,1,0,16,0,0,1,1,0,0,0,1,0,417,0,417,0
173,120,181,165,28,66,0,0,9,0,0,0,0,0,0,0,1,4,454,0,454,0
174,120(A),185,234,28,57,0,0,2,0,0,1,1,0,1,1,0,6,516,0,516,0
175,121,112,184,27,71,0,0,11,0,0,0,0,0,0,0,0,3,408,0,408,0
176,121(A),139,215,21,30,0,0,6,1,1,1,0,0,0,1,0,2,417,0,417,0
177,122,155,159,20,56,1,0,10,0,0,0,0,0,0,0,0,4,405,0,405,0
178,122(A),190,178,19,33,0,0,3,0,1,0,0,1,0,1,2,7,435,0,435,0
179,123,128,160,52,36,0,0,9,0,1,0,0,0,0,0,0,9,395,0,395,0
180,124,153,130,46,33,0,1,5,0,0,0,0,0,0,0,0,6,374,0,374,0
181,124(A),167,146,39,25,0,0,5,2,0,1,1,0,0,0,2,9,397,0,397,0
182,125,200,218,44,67,0,0,16,0,0,0,1,0,1,0,0,5,552,0,552,0
183,126,182,92,41,34,0,3,5,0,0,0,0,0,0,0,0,6,363,0,363,0
184,126(A),215,80,36,23,1,0,6,0,0,0,0,0,0,0,0,5,366,0,366,0
185,127,221,110,48,21,1,3,6,0,0,0,2,0,1,0,0,8,421,0,421,0
186,127(A),231,87,49,18,1,1,1,1,0,1,1,0,2,0,0,7,400,0,400,0
187,128,75,199,24,37,0,0,7,0,0,0,0,0,0,0,0,4,346,0,346,0
188,128(A),81,207,36,18,0,0,3,0,1,0,0,0,0,2,1,2,351,0,351,0
189,129,125,135,27,36,0,0,7,1,0,0,0,0,0,1,0,3,335,0,335,0
190,129(A),142,127,22,20,0,1,4,0,1,0,1,1,0,1,0,2,322,0,322,0
191,130,199,142,52,50,1,0,8,0,0,0,0,0,1,0,1,6,460,0,460,0
192,131,218,143,37,40,0,0,9,1,0,0,0,0,0,0,0,5,453,0,453,0
193,132,94,176,17,50,0,0,7,0,0,1,0,0,0,1,0,3,349,0,349,0
