Sl. No,Polling Station No,K.KUPPAN AIADMK,M.KOTTESWARAN BSP,K.P.SHANKAR DMK,RUYITTOVURIT R.EGAVALLI NMK,D.SASIRAJ SP,SEEMAN NTK,M.SOUNDARA PANDIAN AMMK,lareneG D.MOHAN MNM,K.GOPINATH IND,ot BALAJI V.SURESH IND,limaT M.CHELLAM IND,udaN D.THAMIZHIZHAN IND,evitalsigeL B.DHANASEKARAN IND,C.DHANRAJ IND,PRAVINA IND,RAJ M.A.MICHAEL IND,KUMAR N.RAMESH IND,KUMAR N.RAJESH IND,U.VENKATESH IND,HUSSAIN B.ZAKIR IND,Total Valid Votes,Rejected Votes,Total Votes
175,124,119,0,175,0,0,167,2,22,0,0,1,1,0,0,0,2,2,0,1,0,492,0,2,494
176,125,120,0,188,0,0,138,1,19,0,0,1,0,0,1,1,4,2,0,0,0,475,0,5,480
177,125(A),131,1,198,1,1,106,3,22,0,0,4,0,0,0,0,4,0,0,0,0,471,0,3,474
178,126,160,0,245,1,1,261,7,35,1,0,1,0,0,0,0,4,1,0,0,1,718,0,4,722
179,127,106,0,203,1,0,129,4,17,0,0,0,0,0,0,0,0,0,0,0,0,460,0,2,462
180,127(A),101,0,177,0,0,118,3,21,1,0,2,0,0,0,0,0,0,0,1,0,424,0,5,429
181,128,75,0,127,1,1,106,2,14,0,0,1,0,1,0,0,1,0,0,0,0,329,0,1,330
182,128(A),84,0,106,1,0,82,0,16,0,0,0,0,0,0,0,1,0,0,0,0,290,0,3,293
183,129,60,0,155,1,0,157,3,20,0,0,0,0,0,0,0,5,1,0,1,0,403,0,7,410
184,129(A),71,0,145,2,1,102,2,18,0,1,0,0,0,0,0,1,0,0,0,0,343,0,1,344
185,130,181,1,201,1,1,112,1,13,0,0,0,1,0,0,1,2,1,0,0,0,516,0,3,519
186,131,118,0,254,1,0,117,5,18,0,0,0,0,0,0,1,0,4,0,0,0,518,0,8,526
187,132,133,0,189,0,1,195,7,17,1,0,0,0,0,0,1,0,1,0,1,0,546,0,2,548
188,133,104,1,222,0,3,182,0,16,0,0,1,1,0,1,0,1,1,1,1,0,535,0,2,537
189,134,107,1,370,2,1,176,10,10,0,0,1,0,1,2,0,0,0,0,2,0,683,0,1,684
190,135,194,2,394,1,1,118,2,7,0,0,0,0,1,0,0,1,1,0,0,2,724,0,1,725
191,136,125,0,397,3,0,144,2,12,0,0,0,0,0,2,0,3,0,0,1,0,689,0,4,693
192,137,86,0,159,0,1,125,1,11,0,0,1,0,0,0,0,0,0,0,0,0,384,0,3,387
193,137(A),116,0,169,0,1,79,0,11,0,0,1,0,0,0,0,3,0,0,0,0,380,0,2,382
194,138,112,0,149,0,3,160,4,11,0,0,1,0,1,0,0,2,0,0,0,0,443,0,3,446
195,138(A),114,1,153,0,0,100,7,26,0,0,1,0,0,0,0,2,1,1,1,0,407,0,7,414
196,139,104,0,151,0,0,140,1,17,0,0,0,0,1,1,0,0,1,0,0,0,416,0,7,423
197,139(A),121,1,144,0,1,101,2,30,0,0,1,0,0,1,0,0,0,1,0,0,403,0,1,404
198,140,83,0,151,0,1,125,2,19,2,0,0,0,0,0,0,0,0,0,0,0,383,0,2,385
199,140(A),106,0,156,0,0,80,2,24,0,0,0,0,0,0,0,0,0,1,0,0,369,0,3,372
200,141,85,0,117,0,2,139,3,20,0,0,1,0,0,0,0,1,0,0,0,0,368,0,2,370
201,141(A),108,3,136,0,0,91,2,19,0,0,2,0,0,0,0,1,0,0,0,0,362,0,2,364
202,142,106,0,195,1,0,197,4,28,0,0,1,0,0,0,0,0,0,1,0,0,533,0,2,535
203,142(A),140,1,195,0,4,145,1,28,0,0,0,1,0,0,1,1,0,0,1,0,518,0,2,520
204,143,178,1,243,1,2,219,8,30,0,1,0,1,0,0,0,3,0,0,0,0,687,0,5,692
205,144,126,1,231,0,0,166,2,29,0,0,2,0,0,0,0,1,2,0,0,0,560,0,0,560
206,145,105,0,158,3,1,150,6,16,0,1,3,0,0,0,0,0,2,0,0,0,445,0,1,446
207,146,129,1,217,1,6,176,5,11,0,0,1,0,0,1,0,0,2,0,1,0,551,0,1,552
208,147,185,1,242,0,0,222,7,20,0,0,3,0,1,1,0,8,2,0,2,0,694,0,5,699
209,148,139,3,176,0,2,96,2,14,0,0,1,0,0,0,0,3,0,0,0,1,437,0,3,440
210,149,137,2,179,1,0,157,3,35,0,0,0,0,1,1,0,1,0,0,0,1,518,0,4,522
211,150,98,1,103,0,1,98,1,23,0,0,0,0,0,0,0,0,0,0,1,0,326,0,1,327
212,150(A),101,0,112,0,0,74,1,17,0,1,0,0,0,0,0,0,1,0,2,1,310,0,0,310
213,151,73,0,132,1,1,138,4,17,0,0,1,0,0,0,0,1,0,0,0,1,369,0,1,370
214,151(A),114,0,147,1,2,109,1,14,0,0,1,0,0,1,1,0,0,0,0,0,391,0,2,393
215,152,167,2,220,0,1,181,7,11,0,0,2,0,1,0,0,1,0,0,1,0,594,0,7,601
216,153,165,0,146,2,2,155,1,11,0,0,0,0,0,0,0,1,0,0,0,0,483,0,2,485
217,154,82,0,120,0,1,155,7,12,0,0,1,0,0,1,0,0,1,0,0,0,380,0,1,381
218,154(A),113,1,121,0,1,126,5,7,0,0,0,0,0,0,0,1,1,0,0,0,376,0,5,381
219,155,113,0,187,0,1,178,2,14,0,0,1,1,0,0,0,0,2,0,1,0,500,0,4,504
220,155(A),155,3,177,2,1,156,3,14,1,0,4,0,0,2,0,0,0,0,0,0,518,0,3,521
221,156,142,0,312,0,4,152,5,15,0,0,0,0,0,0,0,0,0,2,1,0,633,0,2,635
222,157,68,0,143,0,2,129,8,12,0,0,0,0,0,1,0,1,0,0,0,0,364,0,2,366
223,157(A),85,0,172,1,0,104,3,7,0,0,2,0,0,1,0,1,1,0,0,0,377,0,1,378
224,158,85,0,203,1,1,147,13,10,0,0,0,0,0,1,0,1,0,0,0,0,462,0,5,467
225,158(A),117,2,209,0,0,124,14,14,0,0,1,0,1,0,0,0,1,0,1,0,484,0,4,488
226,159,169,1,188,0,0,169,4,17,1,0,1,2,0,0,0,1,2,0,0,1,556,0,4,560
227,160,174,2,202,0,1,133,4,15,0,0,0,1,2,0,0,0,1,0,0,0,535,0,5,540
228,161,81,0,154,1,0,113,1,14,0,0,1,0,0,1,0,2,0,0,0,0,368,0,0,368
229,161(A),89,2,139,0,0,74,0,24,0,0,1,0,0,0,0,1,0,0,0,0,330,0,0,330
230,162,194,1,229,0,2,151,9,38,0,0,1,0,0,1,1,1,0,0,0,0,628,0,5,633
231,163,196,1,247,1,2,174,1,16,1,0,3,1,0,0,0,2,1,0,1,0,647,0,7,654
232,164,81,1,130,0,0,123,1,27,0,0,0,0,0,0,0,0,0,0,0,0,363,0,3,366
233,164(A),90,2,119,1,0,79,6,24,0,0,0,0,0,1,0,1,1,0,0,0,324,0,1,325
234,165,89,0,112,1,0,102,4,19,0,0,0,0,0,0,0,0,0,0,1,1,329,0,3,332
