Sl. No,Polling Station No,O.S.MANIAN,S.K.VETHARATHINAM,P.S.ARUMUGAM,emaN,eht K.RAJENDRAN,LARENEG srotcelE DR.T.SUNDARAVADIVE LAN,S ALI MOHAMED,OT R.RAMAMURTHY,T.RAMAJAYAM,TRAP ALNT R.KATHIRVEL,I MAYNARADEV P.V.THEENATHAYALAN,V.VEERAKUMAR,Total,LS.ONTotalNo.ofElectorsinAssemblyConstituencyNo.NameoftheAssemblyConstituency,Total Valid Votes,Rejected Votes,Total Votes
54,45,6,410,385,9,55,0,3,0,1,4,0,1,874,0,2,876,0
55,46(M),0,197,138,3,67,0,1,0,0,1,1,0,408,0,1,409,0
56,46A(W),1,273,121,4,41,0,1,0,0,0,3,1,445,0,2,447,0
57,47,1,356,361,4,54,2,0,0,0,0,4,1,783,0,6,789,0
58,48,7,312,327,3,134,2,2,1,0,1,0,1,790,0,5,795,0
59,49(M),0,370,111,0,60,0,1,0,0,0,0,0,542,0,0,542,0
60,49A(W),3,437,111,0,30,2,1,0,0,0,1,0,585,0,1,586,0
61,50(M),0,164,282,1,26,0,4,0,0,0,0,1,478,0,5,483,0
62,50A(W),3,270,265,0,22,0,3,0,1,2,2,0,568,0,1,569,0
63,51(M),1,182,218,0,17,0,1,0,1,0,0,0,420,0,0,420,0
64,51A(W),0,237,236,1,16,0,1,0,1,0,0,1,493,0,1,494,0
65,52,2,168,422,1,26,0,2,0,0,0,1,1,623,0,2,625,0
66,53,0,289,209,1,10,1,1,0,0,1,1,1,514,0,3,517,0
67,54,2,300,399,2,18,1,0,0,0,1,0,1,724,0,1,725,0
68,55,0,220,279,1,7,0,1,0,0,0,0,0,508,0,1,509,0
69,56(M),1,197,195,5,39,0,1,0,0,0,0,0,438,0,2,440,0
