Sl. No,Polling Station No,Raja.N Makkal Katchi Sakthi Desiya,G Kamalakannan. Tamilnadu Ilangyar Katchi,Karthikeyan.R. Tamilar Katchi Naam,Sarathbabu Maiam Needhi Makkal,Subashree Arasiyal Makkal Anaithu,Suresh.R.Dr. Manavadhikaa Federal Bhartiya r,Thameem Mohammed M Ansari. India Democratic of Party Social,Chinnadurai Rajesh South Democratic of National India Party,Vincent.J India (Athawale) Republican of Party,Anbarasu.E Independent,Anbarasu.S Independent,M Anbarasu. Independent,M Kumar. Ashok Independent,Mohammed Ali Independent,Lincon.A Abraham Independent,Sathiyaraj.P Independent,Saravanan.K Independent,Saravanan.C Independent,S.V. Saravanan Independent,Nithiyanandam.S Independent,Raji.B Independent,Sridhar.S Independent,Sridhar.S Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
111,71 M,131,89,0,1,23,38,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,293,0,293,0
112,71 AW,111,93,1,1,19,48,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,279,0,279,0
113,72,256,137,0,2,39,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8,507,0,507,0
114,73,305,149,1,2,44,90,0,0,2,1,1,0,0,0,1,3,1,0,1,0,0,0,0,0,1,9,611,0,611,0
115,74 M,179,120,0,0,29,17,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,356,0,356,0
116,74 AW,177,137,0,1,17,28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,368,0,368,0
117,75 M,181,82,1,4,36,32,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,349,0,349,0
118,75 AW,170,91,0,2,20,36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,326,0,326,0
119,76,235,169,1,0,33,33,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,479,0,479,0
120,77,318,154,0,3,61,74,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,3,625,0,625,0
121,78 M,198,164,0,2,39,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,488,0,488,0
122,78AW,189,144,0,0,29,74,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,442,0,442,0
123,79,253,160,0,11,53,87,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,571,0,571,0
124,80 M,168,111,0,3,43,27,0,0,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,362,0,362,0
125,80 AW,202,173,1,0,35,31,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,448,0,448,0
126,81 M,203,124,0,0,31,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,415,0,415,0
127,81 AW,190,130,0,0,17,45,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,5,394,0,394,0
128,82,252,140,0,3,29,17,0,0,3,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,452,0,452,0
129,83,366,122,1,1,30,11,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,2,542,0,542,0
130,84 M,165,104,0,1,34,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,348,0,348,0
131,84 AW,208,97,0,2,10,34,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,358,0,358,0
132,85 M,176,127,2,3,25,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,400,0,400,0
133,85 AW,154,90,2,3,20,59,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,1,336,0,336,0
134,86 M,127,81,0,2,20,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,276,0,276,0
135,86 AW,104,80,1,2,10,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,250,0,250,0
136,87,155,146,0,7,26,63,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,404,0,404,0
137,88 M,158,105,0,3,29,46,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,347,0,347,0
