Sl. No,Polling Station No,Ananthalakshmi Party,OT Ganesan Lakshmi Dravida Kazhagam,EHT K. Kannan Katchi,UDANLIMAT ot( ISAKAVIS S. Karuppasamy Puratchi,EVITALSIGEL eb desu htob M. R. Kalyanasundari Kanagapriya Katchi,ees rof G. Samikkalai Kazagam,)c()(C ItraP yratnemailraP M.G.R. Nambbi Party Makkal Kazhagam,MORF dna P. Palanichamy,S. Mugunthan MNM,ISAKAVIS ) G. Jeevanantham,C. Ashokkumar,P. Anbalagan,R. Ganesan,N. Karthik,D. Kesavakumar,S. Thangaraj,M. Dharmalingam,S. Pandiarajan,N. Balakrishnan,G. Mayilvaganan,M. Marimuthu,E. Lakshmanan,M. Kumar Vinoth,T. Mary Joys,No.of,egaP No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
153,112M,158,0,90,0,0,0,43,45,0,0,20,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,361,0,6,367,0
154,112A(W),165,1,120,0,0,0,32,36,0,0,19,0,1,0,0,3,2,0,0,1,0,0,1,0,0,0,381,0,4,385,0
155,113,233,1,131,0,1,0,45,54,0,0,23,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,493,0,3,496,0
156,114,270,1,123,1,3,1,61,63,0,0,26,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,554,0,3,557,0
157,115M,136,1,97,1,1,0,40,19,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,311,0,5,316,0
158,115A(W),113,0,82,0,0,0,23,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,252,0,2,254,0
159,116M,120,0,135,0,1,0,32,74,0,1,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,373,0,3,376,0
160,116A(W),129,0,191,0,1,0,20,68,0,0,5,1,0,0,1,0,3,0,2,2,2,1,0,0,0,0,426,0,0,426,0
161,117,146,2,274,0,0,0,19,29,1,1,9,0,0,0,0,1,2,0,1,1,17,0,0,0,1,0,504,0,9,513,0
162,118,209,3,179,1,0,0,52,62,0,0,10,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,522,0,3,525,0
163,119M,184,0,90,0,0,0,46,85,0,0,10,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,419,0,3,422,0
164,119A(W),205,1,129,3,0,2,41,43,2,1,6,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,440,0,3,443,0
165,120,280,0,77,0,0,0,47,11,0,0,1,0,0,0,1,0,0,3,1,1,1,2,0,46,1,0,472,0,4,476,0
166,121,328,1,124,0,0,0,65,20,0,0,21,0,1,0,0,3,1,0,1,0,0,1,1,45,0,0,612,0,6,618,0
167,122M,162,2,67,0,0,0,35,11,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,295,0,2,297,0
168,122A(W),149,1,61,0,0,0,13,8,1,1,22,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,260,0,1,261,0
169,123M,166,0,89,0,0,0,55,11,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,351,0,5,356,0
170,123A(W),163,1,99,0,0,0,33,10,0,0,21,0,0,0,1,1,2,1,0,0,0,1,1,0,0,1,335,0,4,339,0
171,124,140,0,54,1,2,0,27,18,0,0,31,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,279,0,3,282,0
172,125M,208,3,77,1,0,0,40,25,0,0,20,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,381,0,7,388,0
173,125A(W),190,3,88,0,1,0,18,20,0,0,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,349,0,0,349,0
