Sl. No,Polling Station No,"SELVAPERUNTHAGAI, K NATIONAL CONGRESS INDIAN","E VINOTH, SAMAJ BAHUJAN PARTY","M THANIGAIVEL, NEEDHI MAKKAL MAIAM","D PUSHPARAJ, TAMILAR KATCHI NAAM","E LOKESH, MAKKAL KATCHI SAKTHI DESIYA","S SAROJA, INDEPENDENT","P SUDHAKAR, INDEPENDENT","K DEVARAJAN, INDEPENDENT","M PARTHIBAN, INDEPENDENT","V LEENA, INDEPENDENT","E VASANTHI, INDEPENDENT","R VEDHAGIRI, INDEPENDENT","D VAIRAMUTHU, INDEPENDENT",Votes,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
144,111 M,136,163,3,15,64,8,0,2,0,1,0,0,0,0,41,4,437,0,437,0
145,111 A(W),167,167,0,20,21,2,0,3,0,0,1,0,0,0,27,8,416,0,416,0
146,112,100,59,1,3,8,0,1,1,0,0,0,0,0,0,26,3,202,0,202,0
147,113,212,234,2,23,67,1,0,1,2,0,1,1,2,0,165,6,717,0,717,0
148,114 M,126,147,1,12,61,6,0,0,0,0,0,0,0,0,38,4,395,0,395,0
149,114 A(W),144,183,1,8,40,2,0,1,0,0,0,1,0,0,34,3,417,0,417,0
150,115 M,154,162,0,17,45,8,0,3,0,0,0,0,0,1,47,7,444,0,444,0
151,115 A(W),161,175,3,13,21,2,0,2,0,1,0,0,0,0,42,3,423,0,423,0
152,116,182,160,5,7,34,5,0,1,1,0,0,1,0,0,99,3,498,0,498,0
153,117 M,122,123,1,15,33,5,0,1,0,0,0,0,0,1,142,3,446,0,446,0
154,117 A(W),158,160,0,17,24,4,1,6,0,0,0,0,0,0,63,1,434,0,434,0
155,118,97,320,2,14,52,0,0,8,1,0,0,1,0,0,115,1,611,0,611,0
156,119,113,286,2,15,46,1,0,5,0,1,0,1,0,1,168,5,644,0,644,0
157,120,74,289,3,10,27,2,0,4,0,0,0,1,0,0,378,6,794,0,794,0
158,121 M,50,203,0,7,36,3,0,4,0,0,1,0,1,0,157,5,467,0,467,0
159,121 A(W),50,224,0,11,15,1,0,14,0,0,0,0,1,0,146,3,465,0,465,0
160,122,74,273,0,6,43,4,0,7,1,0,0,1,0,0,422,3,834,0,834,0
