Sl. No,Polling Station No,G.HARI ADMK,D.KRISHNAMURTHY DMDK,S.CHANDRAN DMK,N.MAGENDIRAN BSP,L.AKILA NTK,MALAI M.D.THANIGAI IJK,S.MANICKAM AIJMK,M.HARI IND,K.CHANDRAN IND,T.CHANDRAN IND,SURESHA.J.IND,S.SHETTU IND,D.PAULRAJ IND,VIJAYANP.V.IND,Total Valid Votes,Rejected Votes,Total Votes
96,76,169,9,390,10,33,1,0,2,0,0,0,0,4,0,618,0,2,620
97,77,266,5,432,0,45,0,0,1,0,0,0,0,2,2,753,0,3,756
98,78,259,19,390,1,59,1,0,0,0,0,0,0,2,5,736,0,11,747
99,79,187,5,259,1,29,0,0,2,0,0,1,0,0,3,487,0,3,490
100,80,159,10,249,1,31,2,0,2,0,0,0,0,1,1,456,0,4,460
101,81M,149,13,248,2,69,0,0,0,0,0,2,0,0,0,483,0,6,489
102,81A(W),193,11,277,2,23,0,0,3,0,0,2,2,1,4,518,0,4,522
103,82,181,16,334,0,55,4,0,1,0,0,2,0,2,0,595,0,1,596
104,83M,102,10,323,3,49,2,1,1,0,0,0,0,0,1,492,0,1,493
105,83A(W),117,6,322,2,27,2,1,0,0,0,0,0,1,0,478,0,2,480
106,84,189,19,489,3,81,2,0,1,0,0,0,0,1,0,785,0,5,790
107,85M,105,12,277,1,63,0,0,2,0,0,1,1,1,1,464,0,1,465
108,85A(W),114,11,296,0,38,1,0,1,2,0,0,0,1,1,465,0,2,467
109,86,174,18,276,1,19,0,0,1,0,0,0,1,5,0,495,0,3,498
110,87,147,7,287,1,15,0,0,1,0,0,0,1,2,0,461,0,1,462
111,88,141,10,357,8,20,0,0,3,0,0,0,0,2,0,541,0,1,542
112,89,206,22,263,1,14,0,0,4,0,0,0,0,3,1,514,0,2,516
113,90M,114,2,332,0,21,0,1,1,0,0,0,0,4,0,475,0,5,480
114,90A(W),101,3,374,1,3,0,0,1,0,0,0,1,4,0,488,0,0,488
115,91,235,7,452,0,64,0,0,3,0,0,1,0,3,1,766,0,9,775
116,92,170,21,313,2,34,1,0,2,0,0,1,1,0,0,545,0,6,551
117,93,207,17,404,2,53,2,1,0,0,0,1,2,2,1,692,0,2,694
118,94,122,7,276,0,16,0,0,3,0,0,0,1,4,1,430,0,2,432
119,95M,116,5,229,2,19,1,0,0,0,1,0,0,1,1,375,0,1,376
120,95A(W),94,7,283,1,12,0,1,2,0,0,0,0,0,1,401,0,2,403
121,96,333,12,274,1,14,0,0,1,0,1,0,1,1,0,638,0,7,645
