Sl. No,Polling Station No,Sundararajan .S AIADMK,DMKK.M.Rajesh,KTMT C. Sivalingam,K. Sengodan MNM,A. Chellamuthu AMMK,PIMK.Settu,S. Shobana NTK,IPG P. Ravikumar,A. Arokiasami IND,M. Gunasekaran IND,S. Gopalakrishnan IND,V. Sathishkumar IND,R. Sengoten IND,C. Durairaj IND,M. Palaniyappan IND,M. Bakkiyamani IND,K. Prabhu IND,P. Manivel IND,P. Vijayakumar IND,"INDK.Vijayan,@Viji",T. Vengadachalam IND,I. Jaganathan IND,M. Jagannathan IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
109,85,257,313,0,28,3,0,33,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,637,8,0,645
110,86,278,347,0,6,2,0,44,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,681,3,0,684
111,87,139,184,1,16,1,1,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,356,9,0,365
112,88,207,288,2,21,10,1,52,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,586,4,0,590
113,89,112,184,0,17,1,1,22,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,342,3,0,345
114,90,161,444,1,13,5,0,44,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,677,4,0,681
115,91,90,165,0,13,1,0,20,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,296,3,0,299
116,92,290,237,2,10,1,0,31,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,575,10,0,585
117,93,230,175,0,15,1,0,24,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,448,3,0,451
118,94,318,204,1,19,1,0,42,0,1,0,1,0,2,0,0,7,0,0,0,0,0,0,0,596,5,0,601
119,95,371,293,1,31,2,0,51,0,0,0,0,1,0,0,0,9,4,2,0,0,0,0,0,765,3,0,768
120,96,390,307,6,10,3,0,38,1,0,1,0,0,2,0,3,6,1,0,0,0,0,0,0,768,4,0,772
121,97,276,311,5,2,3,1,35,0,1,0,0,0,1,1,3,2,2,3,0,1,0,0,0,647,13,0,660
122,98,246,241,4,9,0,0,34,0,1,1,1,0,0,2,0,5,3,1,0,0,0,0,0,548,11,0,559
123,99,267,291,4,9,3,0,45,0,0,0,0,0,0,3,0,1,0,3,0,0,0,1,0,627,6,0,633
124,100M,126,205,0,8,0,0,32,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,376,5,0,381
125,100A(W),151,214,2,10,0,0,20,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,401,7,0,408
126,101M,112,168,0,12,1,0,32,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,330,1,0,331
127,101A(W),140,159,1,20,0,0,26,2,0,0,1,0,1,0,4,8,0,0,0,0,0,0,0,362,5,0,367
128,102,211,256,2,22,0,1,69,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,567,4,0,571
129,103,312,308,1,18,1,0,40,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,686,5,0,691
130,104,276,365,3,3,2,0,32,0,2,1,1,1,0,2,5,4,2,1,0,0,0,1,0,701,5,0,706
131,105,354,316,4,5,7,0,41,1,0,2,1,1,1,0,2,2,1,1,1,1,0,0,2,743,4,0,747
132,106,116,213,6,6,7,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,365,1,0,366
133,107,195,248,3,5,0,0,21,0,0,0,1,0,0,1,5,1,0,0,0,0,1,0,0,481,10,0,491
134,108,260,283,4,3,1,0,27,0,0,0,4,0,0,0,2,4,2,1,0,0,0,2,2,595,4,0,599
135,109,367,165,2,11,0,0,31,1,0,0,1,0,1,0,1,4,1,0,1,0,0,0,1,587,3,0,590
136,110,206,251,5,4,4,0,27,0,0,0,0,0,1,0,4,6,1,0,0,0,0,1,1,511,0,0,511
137,111,249,191,2,6,1,0,34,1,0,0,0,0,0,2,1,5,0,0,0,0,0,0,1,493,8,0,501
138,112,287,368,0,3,2,0,41,0,1,1,0,0,0,0,4,1,2,4,2,1,2,0,1,720,2,0,722
139,113,272,415,4,6,2,0,42,0,0,0,3,0,0,2,3,0,1,1,0,0,0,1,1,753,4,0,757
140,114,239,304,5,5,4,0,37,1,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,602,0,0,602
141,115,147,260,5,4,2,0,26,1,0,2,2,1,0,1,6,3,2,1,1,0,1,0,0,465,4,0,469
142,116M,182,265,1,5,5,0,27,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,487,2,0,489
143,116A(W),208,271,9,7,2,0,10,1,2,0,2,0,1,1,3,2,1,2,0,0,0,1,1,524,6,0,530
144,117M,182,237,0,15,4,0,48,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,488,4,0,492
145,117A(W),181,210,1,12,1,1,23,1,0,0,0,1,1,0,1,3,1,1,1,0,0,0,0,439,3,0,442
146,118,225,208,4,7,3,0,74,0,0,1,2,0,1,1,1,2,3,0,1,0,0,0,0,533,4,0,537
147,119,159,280,1,5,2,0,36,0,0,0,0,0,1,0,4,0,2,1,0,0,0,0,0,491,4,0,495
148,120,233,254,4,7,6,0,35,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,543,3,0,546
149,121M,207,176,0,4,2,0,35,0,0,0,1,1,1,0,4,2,0,0,0,0,1,0,0,434,0,0,434
150,121A(W),199,158,3,2,2,1,6,0,0,0,0,1,0,3,3,6,0,0,0,0,0,1,0,385,3,0,388
151,122,215,137,1,7,1,0,26,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,1,394,5,0,399
152,123,280,140,2,27,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,480,7,0,487
153,124M,188,192,1,19,2,0,56,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,461,4,0,465
154,124A(W),209,165,2,14,0,0,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,417,0,0,417
155,125,251,288,1,2,0,0,9,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,561,5,0,566
156,126,292,224,4,7,0,0,11,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,547,0,0,547
157,127,377,375,0,8,0,2,54,0,0,0,1,0,0,3,2,4,0,1,0,0,0,0,0,827,4,0,831
158,128,392,387,1,9,3,1,47,0,0,0,1,1,0,0,1,7,5,1,1,0,0,0,0,857,6,0,863
159,129,174,307,2,10,0,0,28,1,0,0,0,0,0,0,3,1,3,1,1,1,0,0,0,532,2,0,534
160,130,312,203,0,12,1,1,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,2,0,560
161,131,232,149,2,11,1,0,41,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,440,4,0,444
162,132,319,301,1,14,1,0,32,0,1,0,0,0,0,2,1,4,1,0,1,0,0,1,0,679,3,0,682
163,133,262,200,0,11,1,1,43,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,527,4,0,531
164,134,287,334,3,5,7,1,36,1,0,0,0,0,1,0,2,4,2,0,1,0,1,0,0,685,3,0,688
165,135,336,217,1,34,4,0,49,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,2,650,7,0,657
166,136,387,193,2,7,0,0,27,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,625,5,0,630
167,137M,240,237,5,5,1,0,25,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,517,3,0,520
168,137A(W),267,211,2,7,0,0,14,0,0,0,1,1,1,0,2,4,1,0,0,0,0,0,1,512,5,0,517
