Sl. No,Polling Station No,DHANALAKSHMIA.,MUTHUSAMYS.,EDORE KUMARP.,TSEW CHANDRANM.,OT EHT SIVASUBRAMANIYANS.,UDANLIMAT,THANGAVELG.,EVITALSIGEL SEVUGAN,EES( TRAP BALASUBRAMANIAMK.,)C)(C MORF EHT I MADHANK.,EDORE,TSEW KALITHASSR.,MUTHUSAMYA.,VENGATESANA.,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
125,95A(W),219,0,158,20,0,0,0,17,0,0,1,0,0,0,1,416,0,3,419,0
126,96M,113,0,215,33,0,1,2,24,0,1,1,0,0,0,0,390,0,6,396,0
127,96A(W),138,1,183,23,1,1,0,29,0,0,1,1,0,1,0,379,0,6,385,0
128,97,286,2,153,64,0,0,0,13,0,0,0,0,1,0,0,519,0,10,529,0
129,98,355,0,168,57,0,1,0,24,0,0,0,0,0,0,0,605,0,3,608,0
130,99M,140,1,232,34,0,3,0,19,0,0,0,0,1,2,0,432,0,7,439,0
131,99A(W),153,0,185,17,0,1,1,27,0,0,0,0,1,2,0,387,0,5,392,0
132,100M,120,0,181,36,0,1,0,26,0,0,0,0,0,1,0,365,0,0,365,0
133,100A(W),130,0,159,18,0,0,0,28,0,1,0,0,0,0,0,336,0,4,340,0
134,101M,146,0,234,59,0,0,0,29,0,0,0,0,0,0,1,469,0,8,477,0
135,101A(W),184,4,227,21,1,0,0,29,0,2,0,0,0,3,0,471,0,7,478,0
136,102M,167,0,205,55,0,2,0,22,0,0,0,0,0,1,0,452,0,5,457,0
137,102A(W),204,0,188,24,1,1,0,21,0,1,0,0,0,1,0,441,0,2,443,0
138,103M,121,1,148,32,0,1,0,27,0,0,0,0,0,0,0,330,0,4,334,0
139,103A(W),166,1,130,21,0,0,0,18,1,0,0,0,1,2,1,341,0,1,342,0
140,104M,100,0,191,36,0,1,0,11,0,0,0,0,1,1,0,341,0,7,348,0
141,104A(W),119,2,201,10,1,1,0,15,0,1,0,0,0,1,1,352,0,8,360,0
142,105,212,1,296,34,0,1,0,30,0,0,0,1,0,3,0,578,0,8,586,0
143,106,237,3,300,65,1,2,0,34,0,0,0,0,0,1,1,644,0,6,650,0
144,107,299,2,368,53,1,2,1,10,0,0,1,0,0,3,0,740,0,4,744,0
145,108,353,3,254,51,2,2,1,19,0,2,0,0,1,1,0,689,0,5,694,0
146,109,229,2,207,56,0,2,0,15,0,1,0,0,1,1,0,514,0,1,515,0
147,110,197,0,194,26,0,3,1,11,0,0,0,0,0,2,0,434,0,4,438,0
148,111,156,1,207,20,0,2,0,8,0,0,0,0,0,2,0,396,0,2,398,0
149,112M,153,2,210,42,0,1,0,29,0,0,0,0,0,2,1,440,0,4,444,0
150,112A(W),198,1,191,20,0,3,1,33,0,0,0,1,0,3,0,451,0,7,458,0
151,113,185,1,211,43,0,1,0,43,0,0,0,0,0,7,0,491,0,4,495,0
152,114M,159,0,197,56,0,2,1,20,0,0,0,0,0,3,0,438,0,2,440,0
153,114A(W),229,1,182,29,0,3,1,13,0,0,0,0,0,3,0,461,0,6,467,0
154,115,261,2,302,67,4,6,1,22,1,1,0,0,1,2,1,671,0,7,678,0
155,116M,197,1,232,55,0,2,1,27,0,0,0,0,0,1,0,516,0,7,523,0
156,116A(W),225,2,198,28,2,3,1,28,0,0,0,0,1,0,0,488,0,7,495,0
157,117,243,1,268,43,0,1,0,16,0,0,0,2,0,1,0,575,0,3,578,0
158,118,274,2,287,65,0,2,0,36,0,0,0,1,0,0,0,667,0,6,673,0
159,119M,141,1,208,45,0,1,0,7,0,0,0,0,0,2,0,405,0,3,408,0
160,119A(W),212,0,190,20,1,3,0,14,1,1,0,1,0,0,0,443,0,3,446,0
161,120M,175,0,238,39,1,2,0,8,0,1,0,0,0,0,0,464,0,1,465,0
162,120A(W),215,2,197,24,3,4,1,8,0,0,0,1,2,2,0,459,0,5,464,0
163,121,215,0,269,57,0,3,0,33,0,0,0,1,0,1,1,580,0,8,588,0
164,122,195,0,209,29,0,1,0,23,0,1,0,0,0,0,0,458,0,4,462,0
165,123,242,0,199,51,0,5,0,28,0,0,1,1,0,0,0,527,0,3,530,0
166,124M,271,0,240,51,0,4,0,14,0,0,0,0,0,1,0,581,0,6,587,0
167,124A(W),300,0,208,31,0,2,1,14,0,1,2,1,1,0,0,561,0,5,566,0
168,125M,121,0,203,29,0,1,0,32,0,0,0,0,0,0,0,386,0,1,387,0
169,125A(W),141,0,185,8,0,0,0,29,0,0,0,2,0,3,0,368,0,3,371,0
170,126,250,2,382,73,0,5,1,17,0,0,0,1,1,0,0,732,0,5,737,0
171,127,300,4,330,66,1,1,0,10,0,0,0,0,2,2,0,716,0,6,722,0
172,128M,176,0,244,44,0,5,0,16,0,0,0,0,1,1,1,488,0,5,493,0
