Polling Station No.,Building,Polling Areas
52,PANCHAYAT UNION RPIMARY SCHOOLINTEGRATED CONFERENCE CENTRE MANNARKOVIL,"1.Mannarkovil (R.V), Mannarkovil (P) Sivanthipatti Sannathi Street , 2.Mannarkovil (R.V), Mannarkovil (P) Main Road , 3.Mannarkovil (R.V), Mannarkovil (P) Kudiyirupu Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
53,VILLAGE PANCHAYAT OFFICEMANNARKOVIL,"1.Mannarkovil (R.V), MannarKovil (P) Sivanthipettai , 2.Mannarkovil (R.V), Mannarkovil (P) Vembadi Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
54,"VILLAGE PANCHAYAT OFFICENORTH PORTION, MANNARKOVIL","1.Mannarkovil (R.V), Mannarkovil (P) Vempadi Street , 2.Mannarkovil (R.V), Mannarkovil (P) Ramar Street , 3.Mannarkovil (R.V), Mannarkovil (P) Vempadi Street , 4.Mannarkovil (R.V), Mannarkovil (P) Puliyankulam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
55,"VILLAGE PANCHAYAT OFFICEKAKKANALLUR, AYAN THIRUVALEESWARAM","1.Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P) Ayan Thiruvaliswaram North Street , 2.Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P) Ayan Thiruvaliswaram Middle Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
56,"ANGANVADI CENTREKAKKANALLUR, AYAN THIRUVALEESWARAM","1.Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P) Ayan Thiruvaliswaram South Street. , 2.Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P) Keela Street, Mela Street , 3.Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P) Ayan Thiruvaliswaram , 4.Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P) South Street , 5.Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P) Mudukku Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
57,"HINDU PRIMARY SCHOOLNEW BUILDING, SOUTH SIDE, BRAHMADESAM","1.Brahmadesam (R.V), Brahmadesam (P) Brahmadesam , 2.Brahmadesam (R.V), Brahmadesam (P) Brahmadesam Amman Kovil Mela Street, Chirsten School Street. , 3.Brahmadesam (R.V), Brahmadesam (P) Main Road , 4.Brahmadesam (R.V), Brahmadesam (P) Ambasamudram Road , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
58,SUYAUTHAVIKULU MEETTING HALLBRAMADESAM,"1.Brahmadesam (R.V), Brahmadesam (P) Brahmadesam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
59,ANGANVADI BUILDINGBRAMADESAM,"1.Brahmadesam (R.V), Brahmadesam (P) Brahmadesam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
60,"SRI BUDTHAR PRIMARY SCHOOLNEWLY CONSTRUCTED BUILDING, SOUTHERN BUILDING GOWTHAMPURI","1.Brahmadesam (R.V), Brahmadesam (P) Block No 7 Gowthamapuri , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
61,"SRI BUDTHAR PRIMARY SCHOOLNORTHERN PORTION, GOWTHAMPURI","1.Brahmadesam (R.V), Brahmadesam (P) Block No 7 Gowthamapuri , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
62,PANCHAYAT COMMUNITY HALLEASTERN PORTION BRAMADESAM,"1.Brahmadesam (R.V), Brahmadesam (P) Brahmdesam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
