Sl. No,Polling Station No,K VIJAYA Samaj Party Bahujan,ARULMOZHIDEVA .P N Makkal Thannurimai Katchi Tamilaga,R RAMKUMAR Jananayaga Katchi Indiya,K SILAMBARASI Katchi Tamilar Naam,P CHINNUSAMY Of Party India Ganasangam,M JAYANTHI of party India Ambedkarite,P SEERANGAN Independent,S PALANIVEL Independent,S POONGODI Independent,A MANIVANNAN Independent,D MADHIYAZHAGAN Independent,M MUNIYAPPAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
239,184M,215,178,0,0,1,6,29,0,0,0,0,1,0,0,0,430,0,5,435,0
240,184A(W),240,178,2,1,0,2,12,0,0,0,0,0,0,0,3,438,0,1,439,0
241,185M,189,184,0,0,1,1,52,1,0,0,0,0,0,1,1,430,0,4,434,0
242,185A(W),219,211,2,0,0,0,25,0,0,0,1,0,0,0,2,460,0,2,462,0
243,186,306,322,0,0,7,9,48,0,0,0,0,0,0,0,1,693,0,6,699,0
244,187,292,253,0,1,7,10,53,0,0,0,2,0,1,0,0,619,0,11,630,0
245,188,256,227,2,0,1,1,39,1,0,0,0,0,1,1,1,530,0,6,536,0
246,189,247,434,3,1,5,1,61,0,0,0,0,0,0,1,6,759,0,9,768,0
247,190M,197,261,1,0,7,0,60,0,1,0,0,0,0,0,2,529,0,1,530,0
248,190A(W),228,238,0,1,5,1,34,0,0,0,0,0,0,0,3,510,0,5,515,0
249,191,319,399,2,0,6,1,72,0,0,1,0,1,0,0,1,802,0,8,810,0
250,192,275,339,2,2,1,0,61,1,0,1,0,0,0,0,2,684,0,8,692,0
251,193M,218,250,1,1,2,3,34,0,0,0,1,0,0,0,1,511,0,5,516,0
252,193A(W),247,248,2,1,2,2,20,1,0,2,0,0,1,0,3,529,0,11,540,0
253,194,314,275,1,1,13,6,37,2,0,0,0,0,0,1,3,653,0,9,662,0
254,195M,231,275,0,0,2,2,34,0,0,0,0,1,0,0,0,545,0,8,553,0
255,195A(W),283,277,3,0,0,0,12,0,1,0,1,0,0,1,2,580,0,5,585,0
256,196,347,265,1,0,3,2,22,1,1,0,1,0,0,0,1,644,0,3,647,0
257,197,338,251,0,3,1,4,19,0,0,1,0,1,1,1,3,623,0,11,634,0
258,198M,195,253,1,0,3,2,21,0,1,0,0,0,0,2,0,478,0,3,481,0
259,198A(W),211,260,2,0,0,2,11,0,2,0,1,0,0,1,5,495,0,3,498,0
260,199,197,166,0,0,4,0,34,0,0,0,1,0,0,0,1,403,0,4,407,0
261,200,247,306,1,0,6,0,49,0,0,1,0,1,0,1,0,612,0,7,619,0
262,201M,208,230,0,0,2,3,29,0,0,0,0,2,0,0,1,475,0,9,484,0
263,201A(W),277,224,1,1,0,1,10,0,0,0,0,1,1,1,0,517,0,6,523,0
264,202,241,294,0,0,2,0,27,0,0,0,0,0,0,0,4,568,0,3,571,0
265,203,376,246,5,1,1,6,30,0,0,0,0,0,0,0,3,668,0,6,674,0
266,204,531,346,2,0,1,0,33,1,0,0,0,0,0,0,0,914,0,8,922,0
267,205,327,347,0,1,8,2,41,0,0,0,0,1,1,0,1,729,0,5,734,0
268,206,250,421,3,0,3,0,53,0,0,0,0,1,1,0,0,732,0,5,737,0
269,207,177,177,0,1,3,1,40,0,1,0,0,0,0,1,1,402,0,2,404,0
270,208,403,333,2,0,8,0,84,1,0,0,1,0,1,0,0,833,0,11,844,0
271,209,432,164,1,0,5,1,19,1,0,0,0,0,0,2,0,625,0,5,630,0
272,210,291,145,2,0,3,0,13,0,0,0,0,0,0,0,0,454,0,1,455,0
273,211,429,292,1,3,2,1,42,1,1,0,0,0,0,0,0,772,0,5,777,0
274,212,336,206,0,1,6,4,30,0,0,0,0,0,0,1,1,585,0,7,592,0
275,213,370,136,1,0,3,0,18,1,0,0,1,0,0,0,0,530,0,8,538,0
276,214,481,371,1,0,2,3,27,0,0,0,1,1,1,1,2,891,0,12,903,0
277,215M,281,186,0,0,0,0,17,0,0,0,0,0,0,0,0,484,0,1,485,0
