Polling Station No.,Building,Polling Areas
55,"Government Girls Higher Sec Schoo,4th Main road Sidco Nagar Villivakkam Chennai - 600049.",1. Villivakkam New Ward No.94 Sidco nagar 5th block 4th main road 2. Villivakkam New Ward No.94 Sidco Nagar 5th block 9th main road 3. Villivakkam New Ward No.94 Sidco Nagar 4th Block 45th Street 4. Villivakkam New Ward No.94 Sidco Nagar 5th Block 61st Street 999. OVERSEAS ELECTORS.
56,"Government Girls Higher Sec Schoo,4th Main road Sidco Nagar Villivakkam Chennai - 600049.",1. Villivakkam New Ward No.94 Sidco 5th Block 62nd Street 2. Villivakkam New Ward No.94 Sidco nagar 5th block 63rd street 3. Villivakkam New Ward No.94 Sidco Nagar 5th Block 64th Street 4. Villvakkam New Ward No.94 Sidco Nagar 5th Block 65th Street 5. Villivakkam New Ward No.94 Sidco 5th block 66th street 999. OVERSEAS ELECTORS.
57,"Government Girls Higher Sec Schoo,4th Main road Sidco Nagar Villivakkam Chennai - 600049.",1. Villivakkam New Ward No.94 Sidco nagar 4th block 38th street 2. Villivakkam New Ward No.94 Sidco Nagar 4th Block 39th Street 3. Villivakkam chennai 63 Sidco nagar 4th block 40th street 999. OVERSEAS ELECTORS.
58,"Government Girls Higher Sec Schoo,4th Main road Sidco Nagar Villivakkam Chennai - 600049.",1. Villivakkam New Ward No.94 Sidco nagar 5th block 3rd main road 2. Villivakkam New Ward No.94 Sidco Nagar 7th Block 54th Street 3. Villivakkam New Ward No.94 Sidco nagar 7th block 55th street 999. OVERSEAS ELECTORS.
59,"Government Girls Higher Sec Schoo,4th Main road Sidco Nagar Villivakkam Chennai - 600049.","1. Villivakkam New Ward No.94 Sidco nagar 7th block 3rd prathana salai 2. , 2.Villivakkam New Ward No.94 Sidco Nagar 7th Block 56th Street 999. OVERSEAS ELECTORS."
60,"Government Girls Higher Sec School,4th Main road Sidco Nagar Villivakkam Chennai - 600049.",1. Villivakkam New Ward No.94 Sidco nagar 7th block 57th street . 999. OVERSEAS ELECTORS.
61,"Government Girls Higher Sec School,4th Main road Sidco Nagar Villivakkam Chennai - 600049.",5. Villivakkam New Ward No.94 Sidco Nagar 6th Block 82nd Street 6. Villivakkam New Ward No.94 Sidco Nagar 6th Block 83rd Street 7. Villivakkam New Ward No.94 Sidco Nagar 6 Block 84th Street 8. Villivakkam New Ward No.94 Sidco Nagar 6th Block 85th Street 9. Villivakkam New Ward No.94 Sidco Nagar 6th Block 86th Street 10. Villivakkam New Ward No.94 Sidco Nagar 6th Block 87th Street 11. Villivakkam New Ward No.94 Sidco Nagar 6 Block 88th Street 12. Villivakkam New Ward No.94 Sidco Nagar 6th Block 89th Street 999. OVERSEAS ELECTORS.
62,"Government Girls Higher Sec School,4th Main road Sidco Nagar Villivakkam Chennai - 600049.",1. Villivakkam New Ward No.94 Sidco nagar 7th block 8th street 2. Villivakkam New Ward No.94 Sidco Nagar 7th Block 15th Street 3. Villivakkam New Ward No.94 Sidco Nagar 7th Block 53th Street 4. Villivakkam New Ward No.94 Sidco Nagar 6th Block 68th Street 5. Villivakkam New Ward No.94 Sidco Nagar 6th Block 69th Street 6. Villivakkam New Ward No.94 Sidco Nagar 6th Block 70th Street 7. Villivakkam New Ward No.94 Sidco Nagar 6th Block 71st Street 8. Villivakkam New Ward No. Sidco Nagar 6th Block 72nd Street 9. Villivakkam New Ward No.94 Sidco Nagar 6th Block 73rd Street 10. Villivakkam New Ward No.94 Sidco Nagar 6th Block 74th Street 11. Villivakkam New Ward No.94 Sidco Nagar 6th Block 75th Street 12. Villivakkam New Ward No.94 Sidco Nagar 6th Block 76th Street 13. Villivakkam New Ward No.94 Sidco Nagar 6th Block 77th Street 14. Villivakkam New Ward No.94 Sidco Nagar 6th Block 78th Street 15. Villivakkam New Ward No.94 Sidco Nagar 6th Block 79th Street 999. OVERSEAS ELECTORS.
63,"Singaram Pillai Boys Higher Sec School,M.T.H. Road Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 Annai sathiya nagar 999. OVERSEAS ELECTORS.
64,"Singaram Pillai Boys Higher Sec School,M.T.H. Road Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 Sidco Nagar 9th Block 47th Street 2. Villivakkam New Ward No.94 Sidco Nagar 9th Block 46th Street 999. OVERSEAS ELECTORS.
