Polling Station No.,Building,Polling Areas
53,"Municipal Middle School,East New Building North Portion,Gandhi Nagar,Sankarankovil","1.Sankarankovil (M) Ward No 20 Gandhi nagar 2nd St , 2.Sankarankovil (M) Ward No 20 Gandhi Nagar 3rd St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
54,"Arulmugu Sankaranarayana Swamithirukovil Primary School,South Building East Portion,Sankarankovil","1.SANKARANKOVIL (M) Ward No 16 GANDHI NAGAR EAST FOURTH STREET , 2.SANKARANKOVIL (M) Ward No 18 GANDHINAGAR EAST THIRD STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
55,"Arulmugu Sankaranarayana Swamithirukovil Primary School,South Building West Portion,Sankarankovil","1.SANKARANKOVIL (M) Ward No 18 GANDHI NAGAR EAST SECOND STREET , 2.Sankaran Kovil (M) Ward No 18 Gandhi Nagar East First St , 3.SANKARANKOVIL (M) Ward No 19 KAMARAJ NAGAR FIRST STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
56,"Arulmigu Sankaranarayana Swamithirukovil Primary School,South Building,Sankarankovil","1.SANKARANKOVIL (M) Ward No 19 KAMARAJ NAGAR SECOND STREET , 2.SANKARANKOVIL (M) Ward No 19 KAMARAJ NAGAR THIRD STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
57,"Municipal Primary School,New Building,Pattathur,Sankarankovil","1.SANKARANKOVIL (M) Ward No 19 PATTATHUR COLONY FIRST STREET , 2.SANKARANKOVIL (M) Ward No 19 PATTATHUR COLONY SECOND STREET , 3.SANKARANKOVIL (M) Ward No 19 PATTATHUR NEW FIRST STREET , 4.SANKARANKOVIL (M) Ward No 19 PATTATHUR NEW SECOND STREET , 5.Sankaran Kovil(M) Ward No 19 Pattathur 1st Street , 6.Sankaran Kovil(M) Ward No 19 Pattathur 2nd Street , 7.Sankaran Kovil(M) Ward No 19 Pattathur 3rd Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
58,"Hindu Primary School,Thalavaipuram","1.South Sankarankovil (R.V) South Sankarankovil (Pt) Block No 1 Thalavaipuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
59,"Anganwadi Center No.10,Thalavaipuram","1.South Sankarankovil (R.V) South Sankarankovil (Pt) Block No 2 idaiyankulam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
60,"Panchayat Union Middle School,South New Building,Senthatti","1.South Sankaran kovil (R.V) South Sankaran kovi (pt) Block No 3 Senthatti , 2.South Sankarankovil (R.V) South Sankarankovil (Pt) Block No 3 Senthatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
61,"T.D.T.A Primary School,New Building Southern Portion,Adkondarkulam","1.South Sangarankovil (R.V) South Sangarankovil (Pt) Block No 5 Adkondarkulam , 2.South Sankarankovil (R.V) South Sankarankovil (Pt) Block No 4 Adkondarkulam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
62,"Panchayat Union Middle School,New Building Western Portion,Veppankulam","1.South Sankarankovil (R.V) South Sankarankovil (Pt) Block No 6 Thirumalaikolunthupuram , 2.South Sankarankovil (R.V) South Sankarankovil (Pt) Block No 7 Veppankulam , 3.South Sankarankovil (R.V) South Sankarankovil (Pt) Block No 8 Veppangulam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
