Sl. No,Polling Station No,A. GOMATHI Party Samaj Bahujan,P. KABILARASAN Maiam Needhi Makkal,N. THIYAGASUNDARAM Ilangyar Nadu Katchi Tamil,M. THIYAGARAJAN Tamilagam Puthiya,M.A. BANU NASEEMA Democratic India of Party Social,R. VINOTHINI Katchi Tamilar Naam,R.S.A. AMANULLAH Independent,T. ANBAZHAGAN Independent,J. PANNEERSELVAM Independent,A. HALITH MOHAMED Independent,S. MUTHARASAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
238,183,297,1,227,10,1,1,15,81,0,0,2,2,0,637,0,6,643,0
239,184,329,2,182,3,4,2,29,56,0,1,1,0,0,609,0,5,614,0
240,185,253,0,216,17,49,0,10,69,0,0,3,1,0,618,0,4,622,0
241,186,251,2,230,15,8,0,17,127,0,0,1,2,0,653,0,8,661,0
242,187,353,1,237,13,41,0,11,64,1,1,5,0,0,727,0,9,736,0
243,188,245,1,107,5,3,0,6,77,0,0,0,0,0,444,0,5,449,0
244,189,289,2,241,4,14,0,13,98,1,0,1,0,0,663,0,3,666,0
245,190,273,2,281,12,19,0,2,130,1,2,0,0,1,723,0,3,726,0
246,191,222,1,80,26,3,0,8,58,0,0,0,0,0,398,0,6,404,0
247,191(A),233,1,86,27,3,0,3,35,1,0,2,1,1,393,0,8,401,0
248,192,338,2,161,13,5,0,8,63,0,0,2,2,0,594,0,3,597,0
249,193,468,4,176,25,2,0,15,94,0,2,3,1,1,791,0,5,796,0
250,194,370,2,172,31,7,0,6,59,0,0,2,1,1,651,0,4,655,0
251,195,353,0,107,8,2,0,53,62,0,1,1,0,1,588,0,2,590,0
