Sl. No,Polling Station No,"M.ANANDH,TamilarKatchiNaam-5-","GOPALAKRISHNG.AN,NeedhiMaiamMakkal-6-","M.AYYAPPAN,Independent-8-","GURUMOORTHI,D.Independent-9-","SUBRAMANIAN,P.Independent-01-","P.PRAKASH,Independent-11-","VIJAYAKUMAR,C.Independent-21-",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
294,226,290,152,18,38,5,0,0,1,1,0,505,0,4,509,0
295,227,276,113,20,27,9,1,0,0,0,0,446,0,4,450,0
296,227(A),263,118,18,27,10,1,1,0,0,1,439,0,8,447,0
297,228,187,208,19,13,0,1,0,0,0,0,428,0,7,435,0
298,228(A),164,224,17,12,3,1,0,1,0,0,422,0,4,426,0
299,229,119,153,18,21,1,1,1,0,0,0,314,0,3,317,0
300,229(A),112,198,12,22,2,0,2,0,0,0,348,0,2,350,0
301,230,311,225,39,35,13,0,1,0,1,2,627,0,9,636,0
302,231,298,340,52,10,21,0,0,1,1,0,723,0,10,733,0
303,232,293,295,42,28,8,3,0,0,0,1,670,0,9,679,0
304,233,175,192,23,20,12,1,0,1,0,0,424,0,11,435,0
305,233(A),158,192,16,28,1,1,0,1,0,0,397,0,1,398,0
306,234,176,243,26,31,6,0,1,0,0,0,483,0,8,491,0
307,234(A),147,256,25,25,4,0,1,0,0,0,458,0,8,466,0
308,235(A),177,118,34,13,9,0,1,1,0,0,353,0,6,359,0
309,235,149,124,21,19,12,0,0,1,0,0,326,0,3,329,0
310,236,189,111,31,11,7,1,0,0,0,0,350,0,5,355,0
311,236(A),188,129,23,18,2,1,0,0,0,0,361,0,1,362,0
312,237,253,233,51,23,16,0,2,0,1,1,580,0,3,583,0
313,238,245,236,38,18,2,0,0,0,0,0,539,0,3,542,0
314,239,166,198,26,19,6,1,0,1,0,0,417,0,9,426,0
315,240,255,230,45,33,8,1,1,1,1,1,576,0,8,584,0
316,241,251,178,25,41,7,0,0,0,0,0,502,0,5,507,0
317,242,179,277,12,23,4,0,0,0,1,0,496,0,6,502,0
318,243,258,156,22,34,11,0,0,0,0,0,481,0,11,492,0
319,244,353,234,39,37,9,0,0,0,1,1,674,0,3,677,0
320,245,205,96,39,6,10,0,1,0,1,0,358,0,4,362,0
321,245(A),210,122,32,12,4,0,1,1,0,1,383,0,6,389,0
322,246,281,221,63,17,11,1,1,3,0,1,599,0,7,606,0
323,247,244,166,42,17,11,2,0,1,1,2,486,0,11,497,0
324,248,445,129,66,11,11,0,4,0,1,3,670,0,7,677,0
325,249,217,102,34,18,7,0,0,0,0,0,378,0,4,382,0
