Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
240,179,106,0,196,0,3,72,0,18,5,0,2,0,0,0,0,402,0,2,404,
241,179A,110,0,225,1,0,69,0,9,2,3,1,0,1,0,2,423,0,7,430,
242,180,183,1,237,3,0,17,0,39,6,0,0,3,1,1,2,493,0,7,500,
243,181,105,2,149,1,0,41,0,55,3,1,0,1,1,0,0,359,0,8,367,
244,181A,109,2,139,0,3,29,2,29,0,1,1,1,0,0,0,316,0,4,320,
245,182,151,2,196,2,1,45,2,69,4,0,4,1,0,1,0,478,0,7,485,
246,183,175,1,142,0,1,76,1,60,1,0,2,0,1,0,1,461,0,8,469,
247,183A,218,2,142,2,1,62,2,39,0,2,5,0,1,2,1,479,0,5,484,
248,184,179,2,114,0,1,48,1,52,0,3,1,1,0,1,0,403,0,5,408,
249,184A,203,2,102,0,1,49,1,25,1,1,1,1,2,2,2,393,0,6,399,
250,185,113,2,149,0,0,151,0,52,2,2,2,0,0,4,2,479,0,6,485,
251,185A,123,3,155,2,2,156,0,23,4,2,0,0,0,0,2,472,0,5,477,
252,186,164,4,117,0,0,115,0,25,1,0,1,1,0,1,2,431,0,6,437,
253,187,153,4,128,0,1,100,0,35,0,2,1,0,0,2,0,426,0,12,438,
254,187A,142,2,128,1,2,93,1,15,1,5,1,3,1,1,1,397,0,11,408,
255,188,119,0,203,1,1,30,0,65,1,0,1,1,0,0,4,426,0,2,428,
256,188A,136,2,270,3,1,36,0,26,1,4,1,0,0,2,3,485,0,5,490,
257,189,166,3,196,1,1,190,1,52,5,0,2,0,0,2,5,624,0,8,632,
258,190,132,5,190,4,1,28,1,59,3,2,1,1,0,0,4,431,0,7,438,
259,191,88,2,111,0,2,147,0,29,0,12,1,0,0,2,0,394,0,3,397,
260,191A,101,4,116,0,1,128,1,18,0,9,2,2,0,1,0,383,0,2,385,
261,192,82,0,216,2,0,54,0,62,0,1,0,0,0,1,0,418,0,3,421,
262,192A,71,1,227,0,1,54,0,29,2,2,0,0,0,1,1,389,0,6,395,
263,193,23,2,345,0,0,15,0,57,0,0,1,2,0,0,0,445,0,3,448,
264,194,177,2,202,4,0,149,1,59,2,4,3,2,0,6,1,612,0,10,622,
265,195,184,0,214,1,2,110,3,47,3,1,3,0,1,1,4,574,0,5,579,
266,196,70,1,212,0,1,122,0,34,0,0,0,0,1,1,0,442,0,7,449,
267,196A,81,0,224,3,1,102,2,20,0,2,2,2,0,1,0,440,0,4,444,
268,197,181,5,269,1,2,86,0,71,0,1,1,2,0,0,2,621,0,4,625,
269,198,259,2,173,4,3,173,0,61,1,16,2,2,0,1,1,698,0,7,705,
270,199,136,2,172,1,1,17,1,54,1,13,0,1,0,0,5,404,0,4,408,
271,200,261,2,234,0,0,71,0,35,13,3,8,2,2,1,6,638,0,6,644,
272,201,111,5,161,1,1,101,0,48,2,2,2,3,1,1,2,441,0,2,443,
273,201A,110,5,158,6,2,91,0,20,1,0,1,5,0,2,1,402,0,0,402,
274,202,137,1,120,3,4,66,0,25,2,2,3,0,0,0,1,364,0,3,367,
275,203,183,5,231,1,1,110,0,44,2,4,2,1,0,2,2,588,0,9,597,
276,204,94,2,375,0,1,18,0,102,0,0,0,6,0,6,2,606,0,5,611,
277,205,42,0,235,1,0,290,1,68,4,9,3,4,0,6,2,665,0,9,674,
