Sl. No,Polling Station No,CHANDRASEKAR DURAI. INC,P BALARAMAN. AIADMK,J ILAVENIL. BHAVANI BSP,D DESINGURAJAN. MNM,A MAHESWARI. NTK,RAJA PON. AKMK,V VIJAYAKUMAR. AMGRDMK,S PRIYADHARSHAN. ASHOK IND,C.H KUMAR. SAMBATH IND,K SUGUMAR. IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
150,128,216,137,1,24,46,5,0,1,0,0,430,0,6,436
151,128(A),179,125,1,28,36,2,0,3,0,0,374,0,5,379
152,129,250,200,0,28,44,9,2,0,0,1,534,0,9,543
153,130,206,197,1,35,51,12,1,0,0,0,503,0,9,512
154,131,177,173,0,22,26,5,0,2,0,0,405,0,4,409
155,132,231,171,3,13,37,6,1,3,0,0,465,0,8,473
156,132(A),202,202,0,11,18,6,0,0,0,1,440,0,7,447
157,133,294,314,8,18,31,10,0,0,0,1,676,0,7,683
158,134,346,296,2,16,68,14,0,0,0,0,742,0,2,744
159,135,293,317,3,36,114,13,2,0,0,0,778,0,10,788
160,136,186,123,1,13,74,16,0,2,1,0,416,0,1,417
161,136(A),248,127,3,10,47,11,0,0,1,0,447,0,6,453
162,137,104,68,0,15,39,5,0,0,0,0,231,0,2,233
163,138,168,327,5,10,37,3,0,0,1,1,552,0,4,556
164,139,181,166,0,14,85,15,0,0,0,0,461,0,2,463
165,139(A),178,194,1,21,43,7,1,1,0,0,446,0,7,453
166,140,318,229,1,29,89,9,1,0,0,2,678,0,6,684
167,141,247,186,4,8,29,46,0,0,1,1,522,0,4,526
168,142,300,201,1,3,49,25,0,0,0,0,579,0,3,582
169,143,188,255,0,17,60,5,0,0,0,1,526,0,8,534
170,143(A),185,289,4,10,22,4,0,0,0,1,515,0,3,518
171,144,177,235,0,9,56,2,0,1,0,0,480,0,4,484
172,144(A),171,250,2,14,40,1,0,0,1,1,480,0,7,487
173,145,153,242,0,20,52,7,1,2,0,0,477,0,4,481
174,145(A),163,282,4,16,26,4,0,0,0,1,496,0,6,502
175,146,266,265,0,0,31,0,0,0,0,1,563,0,2,565
176,147,259,259,3,12,60,13,0,0,0,2,608,0,5,613
177,148,260,160,0,9,72,28,0,1,0,0,530,0,7,537
178,148(A),249,196,5,3,41,15,2,0,2,1,514,0,2,516
179,149,287,208,1,23,135,2,2,4,0,1,663,0,1,664
180,150,193,139,0,3,82,0,0,6,0,0,423,0,3,426
181,151,102,85,2,1,17,0,0,0,0,0,207,0,3,210
182,152,372,260,1,17,61,1,1,0,0,0,713,0,4,717
183,153,248,147,0,23,40,1,0,0,0,0,459,0,3,462
184,154,416,213,7,8,69,5,2,0,0,1,721,0,2,723
185,155,205,229,0,12,107,0,0,1,1,1,556,0,3,559
186,155(A),173,276,3,19,51,4,3,0,0,0,529,0,3,532
187,156,226,167,3,5,106,17,0,0,0,1,525,0,4,529
188,156(A),234,217,2,4,54,8,0,0,0,3,522,0,6,528
189,157,408,290,4,28,92,6,1,1,0,0,830,0,2,832
190,158,291,145,0,17,59,3,0,7,0,2,524,0,10,534
191,159,477,169,5,24,68,10,1,0,1,0,755,0,5,760
192,160,278,140,2,20,51,3,1,1,2,2,500,0,5,505
193,161,309,181,5,56,82,7,1,0,0,0,641,0,6,647
194,162,253,54,1,11,54,4,0,0,0,1,378,0,5,383
195,162(A),252,47,4,18,38,4,0,0,0,0,363,0,5,368
196,163,168,167,0,29,47,12,0,0,0,0,423,0,3,426
197,163(A),148,150,1,21,34,7,0,0,0,1,362,0,3,365
198,164,257,229,1,55,36,3,0,1,0,0,582,0,9,591
199,165,218,188,3,45,58,7,0,1,0,0,520,0,5,525
200,166,230,190,1,49,46,1,0,1,0,0,518,0,6,524
201,167,232,239,0,48,62,1,0,0,1,0,583,0,7,590
202,168,145,157,0,44,48,9,1,0,0,0,404,0,5,409
203,168(A),143,184,2,36,29,4,1,0,2,1,402,0,7,409
204,169,150,122,0,101,56,4,0,0,0,1,434,0,3,437
205,169(A),164,150,0,66,24,2,0,0,0,0,406,0,3,409
206,170,221,98,0,24,40,3,0,0,1,3,390,0,6,396
