Sl. No,Polling Station No,Rajendran .R DMK,PPN M.P. Panneerselvam,G. Venkatachalam AIADMK,BSPS.Velan,"KMRGMMM.A.Shahjahan,Shahjahan,Ahamed@","N Eswaran, Imaya NTK","R.S. Chakravarthy, Guru MNM",C. Natarajan AMMK,PIMS.Babu,KM Dhesiya Dhurai Murali,"IPA C. Vaathiar, Murugan","Sundaram, M. Shanmuga IND","INDR.Kumar,Senthil",N. Devaraj IND,M.R. Nawazudieen IND,R. Palanisamy IND,"INDA.Kumar,Ramesh",P. Ramachandran IND,S. Rajasekar IND,T. Vijayaraj IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
144,92M,127,0,206,0,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,374,6,0,380
145,92A(W),107,1,184,1,0,9,23,0,0,0,0,0,0,0,1,1,0,0,0,0,327,3,0,330
146,93,647,3,161,4,0,18,9,1,0,0,0,0,0,0,1,2,6,0,0,0,852,1,0,853
147,94,263,0,246,0,0,13,52,0,0,0,0,0,0,0,0,1,0,0,0,0,575,7,0,582
148,95,132,0,192,0,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,363,3,0,366
149,96,197,3,250,2,0,21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,509,4,0,513
150,97,244,0,307,1,0,25,43,5,0,1,0,0,0,0,0,1,1,0,3,0,631,5,0,636
151,98,118,0,295,1,0,12,71,4,0,0,0,0,0,0,0,0,0,0,0,0,501,4,0,505
152,99,270,0,253,1,0,16,9,1,0,0,0,0,0,0,0,0,0,0,0,0,550,3,0,553
153,100,203,0,276,0,0,21,55,2,0,0,0,1,0,0,1,1,0,0,0,0,560,4,0,564
154,101M,201,1,166,0,0,26,25,5,0,0,0,0,0,0,0,1,0,0,0,0,425,2,0,427
155,101A(W),175,1,214,3,1,11,26,5,0,0,0,0,1,0,1,1,0,0,1,1,441,1,0,442
156,102,207,2,175,3,1,17,36,1,0,0,0,0,0,0,0,0,0,0,0,0,442,5,0,447
157,103,187,0,199,0,1,24,48,0,0,0,0,0,1,1,0,0,0,0,1,0,462,6,0,468
158,104,265,0,227,0,0,28,74,2,0,0,0,0,0,0,1,0,0,0,0,0,597,16,0,613
159,105,128,1,187,0,0,16,22,1,0,0,0,0,0,0,0,0,0,0,0,0,355,2,0,357
160,106M,105,0,155,1,1,16,40,3,0,0,0,1,0,0,0,0,0,0,1,0,323,4,0,327
161,106A(W),109,0,164,1,0,8,54,3,0,0,0,0,0,0,0,0,0,0,0,0,339,4,0,343
162,107M,105,0,190,0,1,19,50,1,0,0,0,0,0,1,0,0,0,0,1,0,368,7,0,375
163,107A(W),101,1,177,1,0,7,58,3,0,0,0,0,0,1,0,0,0,0,0,0,349,5,0,354
164,108M,126,2,224,0,0,16,16,1,0,0,0,0,0,1,0,0,1,0,1,0,388,2,0,390
165,108A(W),105,0,282,0,0,9,13,2,0,0,0,0,0,0,0,0,0,0,1,0,412,3,0,415
166,109M,108,1,197,0,0,19,29,1,0,0,0,1,0,0,0,0,0,0,0,0,356,5,0,361
167,109A(W),113,3,248,1,0,10,25,1,0,1,0,0,0,1,0,0,1,0,0,0,404,7,0,411
168,110M,228,0,154,0,0,50,21,1,0,0,0,0,0,0,0,0,1,0,0,0,455,5,0,460
169,110A(W),218,1,207,0,0,22,24,2,0,0,0,0,1,0,0,2,0,0,0,0,477,1,0,478
170,111M,173,0,202,0,0,31,18,1,0,0,0,0,0,1,0,0,0,0,0,0,426,3,0,429
171,111A(W),145,0,219,2,0,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,389,1,0,390
172,112M,208,0,139,0,0,42,29,0,0,1,0,0,0,0,0,0,0,0,2,0,421,0,0,421
173,112A(W),208,2,212,1,0,26,28,1,0,0,0,0,0,1,0,1,1,0,0,0,481,2,0,483
174,113,127,0,158,0,0,13,26,2,0,0,0,0,1,0,1,0,0,2,0,0,330,2,0,332
175,114,264,1,212,0,0,35,44,0,0,0,0,0,1,0,0,0,0,0,0,0,557,3,0,560
176,115,175,1,158,1,0,10,26,0,0,0,0,0,1,0,0,0,0,0,1,1,374,4,0,378
177,116M,191,0,144,0,0,23,24,3,0,0,0,0,0,0,0,0,0,1,0,0,386,1,0,387
178,116A(W),180,0,179,0,0,15,30,0,0,0,0,0,0,1,0,0,0,0,0,0,405,1,0,406
179,117,197,0,169,0,1,26,35,1,0,0,0,0,1,0,0,0,0,0,0,0,430,5,0,435
180,118,322,0,154,3,2,30,32,1,0,0,0,0,0,1,0,0,2,0,0,1,548,4,0,552
181,119M,168,0,104,5,0,40,24,0,0,0,0,0,0,0,1,0,2,0,0,0,344,1,0,345
182,119A(W),154,0,148,1,0,19,14,1,0,0,0,0,0,0,0,1,1,0,0,0,339,1,0,340
183,120,243,0,267,0,0,43,22,1,0,0,0,0,0,0,0,1,0,0,0,0,577,1,0,578
184,121,246,1,322,4,1,28,33,3,0,0,0,0,0,0,0,2,0,0,0,0,640,4,0,644
185,122,252,0,298,1,0,29,39,2,0,0,0,1,0,0,0,2,0,1,1,0,626,4,0,630
186,123,269,0,216,0,0,20,47,3,0,0,0,0,0,1,1,0,0,0,1,0,558,1,0,559
187,124,204,0,294,0,0,18,63,2,0,0,0,0,1,0,0,0,1,0,0,0,583,1,0,584
188,125,281,3,459,1,0,29,22,2,1,0,1,1,2,3,1,4,0,0,3,0,813,4,0,817
189,126M,119,0,44,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,191
190,126A(W),132,0,54,0,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,198,1,0,199
191,127,303,1,281,1,0,22,48,1,0,0,0,0,0,0,0,0,0,0,2,0,659,5,0,664
192,128,176,0,199,0,0,8,35,2,0,0,0,0,0,0,0,1,1,0,2,0,424,4,0,428
193,129,291,1,412,1,0,23,31,4,2,1,0,0,0,2,0,0,1,0,0,0,769,0,0,769
194,130,221,0,298,1,1,30,23,2,2,0,0,0,0,0,0,1,1,0,0,0,580,5,0,585
195,131,241,4,269,3,0,30,78,1,0,0,0,0,0,0,0,2,0,0,0,1,629,4,0,633
196,132,235,1,258,0,0,19,64,1,0,0,0,0,0,1,1,0,0,0,0,0,580,3,0,583
197,133,252,0,233,0,0,22,67,6,0,0,0,0,0,0,0,0,0,0,0,0,580,8,0,588
198,134M,201,0,148,0,0,21,43,2,1,1,0,0,2,0,0,0,2,0,0,0,421,3,0,424
199,134A(W),191,1,160,0,0,13,34,1,1,0,0,0,0,1,0,1,1,1,0,1,406,6,0,412
200,135,287,0,263,1,0,35,76,6,0,0,0,0,0,0,0,0,0,0,0,0,668,2,0,670
201,136,272,0,202,1,0,27,59,1,0,0,0,0,0,0,0,1,0,0,0,0,563,4,0,567
202,137,301,1,140,1,0,35,33,2,0,0,0,0,1,0,0,0,1,0,0,0,515,5,0,520
203,138M,193,0,144,0,0,20,40,4,1,0,0,0,0,0,0,0,0,0,0,0,402,4,0,406
204,138A(W),186,1,167,1,0,8,41,2,0,0,0,0,0,0,0,0,0,0,0,0,406,3,0,409
205,139M,202,0,171,1,0,19,36,2,0,0,0,1,0,0,0,0,0,1,0,0,433,5,0,438
206,139A(W),223,0,155,0,0,11,31,0,0,0,0,0,0,0,0,0,1,0,0,0,421,3,0,424
207,140M,209,0,201,1,1,34,26,1,0,0,0,1,0,0,0,0,0,0,0,0,474,8,0,482
208,140A(W),188,1,212,0,0,11,33,2,0,0,0,0,0,0,0,2,0,0,1,1,451,5,0,456
209,141,333,2,342,1,0,25,70,1,0,0,0,0,0,0,0,1,3,0,2,0,780,3,0,783
210,142M,198,1,165,0,0,59,30,2,0,0,0,0,0,1,0,0,1,0,0,0,457,2,0,459
211,142A(W),219,1,221,0,0,18,15,2,1,0,0,0,0,0,0,1,2,1,1,1,483,3,0,486
212,143,209,0,284,0,2,30,40,3,0,0,0,0,0,0,1,2,0,0,0,0,571,5,0,576
213,144,108,4,261,2,0,19,16,3,2,0,0,0,0,0,0,1,0,0,0,0,416,4,0,420
214,145,130,1,260,0,0,13,41,0,0,0,0,0,0,0,0,0,1,0,0,0,446,5,0,451
215,146,273,1,308,0,0,15,27,1,0,0,0,0,0,1,0,1,1,0,1,0,629,4,0,633
216,147,152,0,336,1,0,24,17,2,0,0,0,0,0,0,0,1,1,1,2,0,537,3,0,540
217,148,202,2,301,1,0,14,15,4,0,0,0,0,0,1,0,2,0,0,2,0,544,4,0,548
218,149,247,0,380,1,0,20,12,0,0,0,0,1,0,1,0,0,0,0,0,0,662,4,0,666
219,150,246,3,317,1,1,27,39,2,0,0,1,0,0,0,0,0,1,0,0,0,638,11,0,649
220,151,277,1,254,1,1,17,40,3,0,0,0,0,1,0,0,0,1,0,0,0,596,2,0,598
221,152M,225,2,138,0,0,21,28,3,1,0,0,0,1,0,0,0,0,0,0,0,419,6,0,425
222,152A(W),188,1,157,0,0,4,29,1,0,0,0,1,0,0,0,0,2,1,0,0,384,2,0,386
223,153M,167,0,189,0,0,25,39,3,0,0,0,0,0,0,0,0,0,0,0,0,423,3,0,426
224,153A(W),154,2,195,0,1,10,45,0,0,0,0,0,0,2,0,0,0,0,1,1,411,0,0,411
225,154,444,6,318,0,0,23,16,2,0,0,0,0,0,1,1,1,0,0,2,0,814,2,0,816
226,155,208,1,338,1,0,33,30,4,0,0,0,0,0,0,0,2,1,0,4,0,622,8,0,630
227,156,111,0,423,6,0,14,46,4,0,0,0,0,0,0,0,0,0,0,0,0,604,4,0,608
228,157M,171,0,278,2,0,16,19,0,0,0,1,1,0,0,0,0,0,0,0,0,488,5,0,493
229,157A(W),150,0,276,1,0,4,21,1,0,0,0,2,0,0,0,0,0,0,0,0,455,7,0,462
230,158M,136,0,295,1,0,14,43,0,0,0,0,0,0,0,0,0,1,0,0,0,490,8,0,498
231,158A(W),121,1,302,1,0,5,28,2,0,0,0,0,0,1,1,0,0,0,1,0,463,7,0,470
