Polling Station No.,Building,Polling Areas
47,"PANCHAYAT UNION PRIMARY SCHOOL, ODUVANPATTI ,NEW BUILDING","1.Oduvan patti (p) Melappatti (RV) W-1 oduvan patti north street , 2.Oduvan patti (p) Melappatti (RV) W-1 oduvan patti east street , 3.Oduvan patti (p) Melappatti (RV) W-1 oduvan patti south street , 4.Oduvan patti (p) Melappatti (RV) W-1 oduvan patti aathi thiravidar colany , 5.Oduvan patti (p) Melappatti (RV) W-1 oduvan patti west street , 6.Oduvan patti (p) Melappatti (RV) W-1 oduvan patti melkkadu kudiyruppu , 7.Oduvan patti (p) Melappatti (RV) W-2 servaikaranpatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
48,"PANCHAYAT UNION PRIMARY SCHOOL, KIRUNGAKOTTAI ,EAST WING,","1.Kringkakkottai (P) (RV) Chettiooranikulam , 2.Kringkakkottai (P) (RV) Muttakkatti , 3.Kringkakkottai (P) (RV) Vatakaramkalam , 4.Kringkakkottai (P) (RV) Kollamkalam , 5.Kringkakkottai (P) (RV) Kabilar Street , 6.Kringkakkottai (P) (RV) Kattabomman Street North , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
49,"PANCHAYAT UNION PRIMARY SCHOOL, KIRUNGAKOTTAI ,WEST WING,","1.Kringkakkottai (P) (RV) AvvaiyarStreet North , 2.Kringkakkottai (P) (RV) Kottabomman Street South , 3.Kringkakkottai (P) (RV) Vellayappan Oorani South , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
50,"PANCHAYAT UNION PRIMARY SCHOOL, KIRUNGAKOTTAI ,NEW BUILDING","1.Kirungakkottai (p) (RV) Parivallal north street , 2.Kirungakkottai (p) (RV) Parivallal south street , 3.Kirungakkottai (p) (RV) V.O.c. north , 4.Kirungakkottai (p) (RV) V.o.c. south , 5.Kirungakkottai (p) (RV) Ovaiyar theru south and south west , 6.Kirungakkottai (p) (RV) Main road north , 7.Kirungakkottai (p) (RV) Main road south , 8.Kirungakkottai (p) (RV) Yathaverpuram , 9.Kirungakkottai (p) (RV) South urani southwest , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
51,"VALLAL PARI HIGHER SECONDARY SCHOOL, PIRANMALAI , SOUTH BUILDING ROOM NO.12","1.Piranmalai (p) (RV) W-1 piranmalai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
52,"VALLAL PARI HIGHER SECONDARY SCHOOL, PIRANMALAI , SOUTH BUILDING ROOM NO.11","1.Piranmalai (p) (RV) W-1 pappa patti , 2.Piranmalai (p) (RV) W-1 Mathakupatti , 3.Piranmalai (p) (RV) W-1 parinagar , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
53,"PANCHAYAT UNION PRIMARY SCHOOL, PIRANMALAI ,NORTH BUILDING","1.Piranmalai (p) (RV) Adiyankulam , 2.Piranmalai (p) (RV) E.pudupatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
54,"PANCHAYAT UNION PRIMARY SCHOOL, PIRANMALAI ,ADDITIONAL EASTERN BUILDING","1.Piranmalai (p) (RV) Kaladipatcheri , 2.Piranmalai (p) (RV) Gopala patcheri , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
55,"PANCHAYAT UNION PRIMARY SCHOOL, THENAMMALPATTI ,ADDITIONAL NEW BUILDING","1.Piranmalai (p) (RV) Thenammalpatti puthukkudiyiruppu , 2.Pranmalai (p) (RV) Thenammalpatti , 3.Piranmalai (p) (RV) Inutrupatti , 4.Piranmalai (p) (RV) Pudupatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
56,"GOVT HGH SCHOOL, CHELLIAMPATTI ,NEW BUILDING","1.Selliyampatti (p) Sirumarutur(RV) W-1 pillaiyar kovil street , 2.Selliyampatti (p) Sirumarutur(RV) W- 1 pallivasal street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
57,"GOVT HIGH SCHOOL, CHELLIAMPATTI ,SOUTH ADDITIONAL BUILDING","1.Selliyampatti (p) Sirumarutur (RV) W-2 amman kovil street , 2.Selliyampatti (p) Sirumarutur (RV) W- 3 selvanagar , 3.Selliyampatti (p) Sirumarutur (RV) W-3 kodunkundrampatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
58,"PANCHAYAT UNION PRIMARY SCHOOL, VAIYAPURIPATTI ,NEW BUILDING","1.Vaiyaburi patti (p) Sirumarutur (RV) W-1 Mettuppatti , 2.Vaiyaburi patti (p) Sirumarutur (RV) W-1 S. aalampatti , 3.Vaiyaburi patti (p) Sirumarutur (RV) W-2 Sirumarutur , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
59,"PANCHAYAT UNION PRIMARY SCHOOL, VAIYAPURIPATTI ,EASTERN ROOM","1.Vaiyaburi patti (p) Sirumarutur (RV) W-1 S. vaiyapuri patti east , 2.Vaiyaburi patti (p) Sirumarutur (RV) W-2 S. vaiyapuri patti west , 3.Vaiyaburi patti (p) Sirumarutur (RV) Poolappatti. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
60,"PANCHAYAT UNION MIDDLE SCHOOL, VENGAIPATTI, NEW BUILDING BLOCK-5","1.Mathurapuri (p) Singampunari North (RV) W-1 mathurapuri , 2.Mathurapuri (p) Singampunari North (RV) W-4 kattuk karuppan patti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
61,"PANCHAYAT UNION MIDDLE SCHOOL, VENGAIPATTI ,SOUTH EAST BUILDING","1.Mathurapuri (p) Singampunari North (RV) W-2 vengaipatti , 2.Mathurapuri (p) Singampunari North (RV) W-3 kirungakkottai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
