Polling Station No.,Building,Polling Areas
45,"Marava Middle School North New Building West Portion,Kaluneerkulam","1.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward No 4,Cheran St , 2.Kaluneerkulam (R.V), Kaluneerkulam (P) Ward No 4,Chozhan St , 3.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward No 4,Pandiyan St. , 4.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward No 4,Nethaji St. , 5.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward No 4,Arunthathiyar St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
46,"Panchayat Union Primary School,Athiyuthu.","1.Kaluneerkulam. (R.V),Kaluneerkulam. (P) Ward no 5, Ramar Kovil St. , 2.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward no 5,West St. , 3.Kaluneerkulam (R.V), Kaluneerkulam (P) Ward no 5, Arunthathiyar St. , 4.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward no 5, Amman Kovil St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
47,"T.D.T.A Primary School,Kalluthu.","1.Kaluneerkulam. (R.V),Kaluneerkulam. (P) Ward.no 6 North St. , 2.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward no 6, East St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
48,"T.D.T.A Primary School,North Building,Kalluthu","1.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward.no 6, Kaliamman Kovil St. , 2.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward no 6, Indra Colony. , 3.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward.no 6, Annamalaiyar St. , 4.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward.no 6, South St. , 5.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward.no 6, Pillayar Kovil St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
49,"Community Welfare Hall,Mela Krishnaperi","1.Pethanadarpatti (R.V) Mela Krishnaperi (Pt) Ward no 1 Melakrishnaperi , 2.Pethanadarpatti (R.V) Mela Krishnaperi (Pt) Ward no 2 Gurukkalnadarpatti , 3.Pethanadarpatti (R.V) Mela Krishnaperi (Pt) Ward no 6 Narayanapuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
50,"Hindu High School,North New Building,Muthu Krishnaperi","1.Kaluneerkulam (R.V) Mela Krishnaperi (Pt) Ward no 3 Muthukrishnaperi Door no 1-200 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
51,"Hindu High School,East New Building,Muthu Krishnaperi","1.Kaluneerkulam (R.V) Mela Krishnaperi (Pt) Ward no 4 Muthukrishnaperi , 2.Kaluneerkulam (R.V) Mela Krishnaperi (Pt) Ward no 3 Muthukrishnaperi door no 201-381 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
52,"Hindu Middle School,New Building,Thuthikulam.","1.Thuthikulam (R.V),Thuthikulam (P). Block 4,Thuthikulam Panchayat Sivagamipuram St. , 2.Thuthikulam (R.V),Thuthikulam (P) AmmanKovil St. , 3.Thuthikulam (R.V),Thuthikulam (P) Middle St. , 4.Thuthikulam (R.V),Thuthikulam (P) North St. , 5.Thuthikulam (R.V),Thuthikulam (P) North St. , 6.Thuthikulam (R.V), Thuthikulam (P) Amman Kovil St , 7.Thuthikulam (R.V),Thuthikulam (P) South St , 8.Thuthikulam (R.V),Thuthikulam (P) North St , 9.Thuthikulam (R.V),Thuthikulam (P) Pillayar Kovil St , 10.Thuthikulam (R.V),Thuthikulam (P) South St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
53,"St. Peters T.D.T.A.Middle School,North Building East Portion,Panchaliamman Kovil Street,Alangulam.","1.Alangulam (T.P). Ward No 3 C.S.I Church Street. , 2.Alangulam (T.P) Ward.no 3, Periyar St. , 3.Alangulam (T.P) Ward.no 3, Pillayar Kovil St. , 4.Alangulam (T.P) Pillayar Kovil St, 3rd St. , 5.Alangulam (T.P) Ward.no 3, C.S.I. Church South North St. , 6.Alangulam (T.P) Santhana Mariyamman Kovil St. , 7.Alangulam (T.P) T.D.T.A Padasalai St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
54,"St. Peters T.D.T.A.Middle School,North Building East Side 2nd Room,Panchaliamman Kovil Street,Alangulam.","1.Alangulam (T.P) Ward.no 4, Azhagirisamy Kovil St. , 2.Alangulam (T.P) Ward.no 4, V.O.C Street.. , 3.Alangulam (T.P) Ward.no 3, Jawahar St. , 4.Alangulam (T.P) C.S.I Church South North St , 5.Alangulam (T.P) Gandhi St. , 6.Alangulam (T.P) Nanathavana Kinatru St. , 7.Alangulam (T.P) T.D.T.A Padasalai St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
55,"St.Peters T.D.T.A.Middle School,West Building 2nd Room,Panchaliyamman Kovil Street,Alangulam.","1.Alangulam (T.P) Ward .no1, Guruvan Kottai St. , 2.Alangulam (T.P) Ward .no 1, Nettur Road. , 3.Alangulam (T.P) Ward .no 1,Harijan Colony. , 4.Alangulam (T.P) Ward .no 1,Panjaliamman Kovil St. , 5.Alangulam (T.P) Ward .no 1, Jawahar St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
56,"St.Peters T.D.T.A.Middle School,North Portion West Building,Panchaliyamman Kovil Street,Alangulam","1.Alangulam (T.P) Ward.no 2, Pillayar Kovil St. , 2.Alangulam (T.P) Ward . no 2 Pillayar Kovil St 1st St , 3.Alangulam (T.P) Ward . no 2,Pillayar Kovil St, 4th St. , 4.Alangulam (T.P) Ward.no 2, Pillayar Kovil St,4th St. , 5.Alangulam (T.P) Ward.no 2, Nethaji St. , 6.Alangulam (T.P) Ward.no 2, Thilakar St. , 7.Alangulam (T.P) Ward No 2,Tenkasi Road. , 8.Alangulam (T.P) Ward.no 2, Gandhi St. , 9.Alangulam (T.P) Ward . no 2, C.S.I Church St. , 10.Alangulam (T.P) Street 17 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
57,"St.Peters T.D.T.A Middle School,North Portion,Padasalai Street,Alangulam.","1.Alangulam (T.P) Pillayar Kovil St. , 2.Alangulam (T.P) Pillayar Kovil 3rd St. , 3.Alangulam (T.P) Alangulam C.S.I Church St , 4.Alangulam (T.P) AlangulamC.S.I Church 1st St , 5.Alangulam (T.P) Alangulam C.S.I Church 2nd St , 6.Alangulam (T.P) Alangulam C.S. I Church 3rd St , 7.Alangulam (T.P) Alangulam C.S.I Church St 4th St , 8.Alangulam (T.P) Alangulam C.S.I Church St 5th st , 9.Alangulam (T.P) Alangulam C.S. I Church St 6th St , 10.Alangulam (T.P) Alangulam C.S.I Church St 7th st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
