Sl. No,Polling Station No,"M,Chinnanann BSP",DMKA.K.Tharun,M. Rajamuthu AIADMK,ahtumA .R IJK,Dhesiya KM Sathiyavani,AMMKS.K.Selvam,KTVV P. Prabakaran,PIMM.Mani,KMJIA S. Manikandan,ICUS)Communist(P.Mohan,S. Rajeshkumar NTK,Guptha Indrajith IND,J. Senthilkumar IND,"E. Murugan, Senthil IND",INDM.Sekar,INDV.Mohan,C. Ramesh IND,K. Rajarathinam IND,A. Venkat IND,M. Vaithi IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
50,42,0,287,455,8,0,18,0,0,0,0,20,0,2,0,0,1,0,0,2,0,793,2,0,795
51,43,0,241,361,2,0,10,0,0,0,0,37,3,1,0,1,2,0,1,4,1,664,11,0,675
52,44,0,320,468,2,0,28,0,0,0,0,26,1,0,0,1,1,0,0,1,0,848,2,0,850
53,45,2,287,497,5,0,56,0,1,0,0,24,1,0,0,0,3,0,0,2,0,878,5,0,883
54,46,3,237,490,4,1,63,0,0,0,1,14,1,0,4,0,1,0,0,2,0,821,8,0,829
55,47M,0,137,344,1,0,40,0,0,0,0,14,0,0,0,0,2,0,0,3,0,541,4,0,545
56,47A(W),0,111,368,2,0,25,0,0,1,0,7,0,1,2,1,1,1,0,0,1,521,1,0,522
57,48,1,294,371,6,0,23,0,0,0,0,13,3,0,1,1,2,0,0,1,0,716,1,0,717
58,49,1,381,346,3,1,25,0,2,0,0,27,1,2,2,1,0,0,0,2,0,794,7,0,801
59,50M,1,281,258,3,0,23,0,0,0,0,20,1,0,1,0,0,0,1,2,0,591,7,0,598
60,50A(W),2,256,230,1,0,20,0,1,1,0,12,1,0,2,3,0,0,0,1,0,530,2,0,532
61,51,1,207,399,1,0,18,0,0,0,1,21,0,0,0,1,1,0,0,1,0,651,3,0,654
62,52,2,265,536,3,2,23,0,0,0,0,24,3,0,1,0,0,0,1,0,0,860,1,0,861
63,53,1,149,299,0,0,13,0,0,0,0,15,0,0,1,0,0,0,0,0,0,478,0,0,478
64,54,0,249,458,2,1,32,0,1,0,0,28,1,0,1,0,0,0,0,0,0,773,3,0,776
65,55,0,319,437,3,0,9,1,1,0,2,14,2,0,1,0,0,1,3,2,0,795,2,0,797
66,56,3,256,397,3,1,3,0,2,0,0,23,1,0,0,1,0,0,0,0,0,690,4,0,694
67,57M,0,332,222,2,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,570,7,0,577
68,57A(W),1,265,258,2,0,10,0,0,0,0,4,0,0,2,0,0,0,1,2,0,545,1,0,546
69,58,1,324,336,5,1,8,0,1,0,1,25,0,1,0,0,2,0,0,2,2,709,2,0,711
70,59,0,81,45,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,133,1,0,134
71,60,1,419,458,1,0,11,0,0,0,0,14,0,1,0,1,0,0,3,1,0,910,1,0,911
72,61M,1,224,271,4,0,8,0,0,0,0,10,0,0,2,1,1,0,0,0,0,522,2,0,524
73,61A(W),1,171,267,3,0,5,1,1,1,0,8,0,1,1,0,2,2,2,1,0,467,0,0,467
74,62,0,319,353,4,0,11,1,0,0,0,17,0,1,1,0,0,0,2,1,0,710,0,0,710
75,63,0,352,459,6,1,13,2,0,0,0,11,1,0,1,0,2,1,0,1,1,851,3,0,854
76,64,0,377,456,1,0,9,0,1,0,0,23,1,0,0,0,1,0,3,0,0,872,7,0,879
77,65,0,318,457,5,1,12,0,0,0,0,21,0,0,0,0,0,0,2,0,0,816,5,0,821
78,66,1,358,369,4,0,14,0,1,2,0,23,1,1,1,1,4,0,2,1,0,783,9,0,792
