Sl. No,Polling Station No,A.KALAIVANAN Party India My,K.SIVAKUMAR Katchi Makkal Thannurimai Tamilaga,K.CHINNATHAMBI Of (Athawale) Party Republican India,N.SENGOTTUVELL U Party Socialist Ahimsa,P.NATARAJAN Katchi Tamilar Naam,R.JANAGARAJ Maiam Needhi Makkal,A.ESWARAN Independent,K.ESWARAN Independent,G.ESWARAN Independent,M.ESWARAN Independent,S.KARTHIKEYAN Independent,T.SHANMUGASUND ARAM Independent,C.SATHIESHKUMA R Independent,R.CHANDRA Independent,K.SARAVANAN Independent,M.SARASWATHI Independent,C.SENTHILKUMAR Independent,SELVARAMALINGA JALLIKKATTU M Independent,K.R.SELVARAJ Independent,C.BALAMURUGAN Independent,S.BALAMURUGAN Independent,P.BALAJICHEZHIA N Independent,R.RANJIT Independent,K.VELU Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
130,107M,188,185,1,0,0,0,32,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,416,0,1,417,0
131,107A (W),139,261,2,1,0,1,17,0,6,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,434,0,3,437,0
132,108M,168,224,3,0,0,0,49,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,457,0,2,459,0
133,108A(W),165,272,5,0,0,0,19,0,2,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,2,472,0,2,474,0
134,109,357,344,5,0,1,0,51,0,7,8,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,780,0,2,782,0
135,110,174,351,2,0,0,0,35,0,5,3,0,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,0,579,0,6,585,0
136,111,313,354,1,1,0,1,38,1,10,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,724,0,3,727,0
137,112,292,359,1,1,0,1,30,1,10,0,0,0,0,1,2,4,1,1,0,0,0,0,0,1,0,0,0,0,705,0,7,712,0
138,113M,184,192,1,0,0,0,30,1,7,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,421,0,6,427,0
139,113A (W),158,263,5,0,1,0,17,2,1,1,0,3,2,5,4,5,0,2,0,0,0,0,0,0,0,0,0,3,472,0,5,477,0
140,114M,232,187,1,2,0,1,28,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,462,0,5,467,0
141,114A (W),229,217,0,0,0,0,9,0,5,3,0,0,0,0,2,1,3,0,1,0,0,1,0,1,0,0,0,1,473,0,6,479,0
142,115M,202,208,0,0,0,0,46,0,12,1,0,0,2,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,477,0,3,480,0
143,115A (W),216,237,5,2,0,1,34,0,10,2,1,0,1,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,528,0,2,530,0
144,116M,182,197,0,0,0,1,63,0,20,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,469,0,4,473,0
145,116A (W),177,266,3,0,0,0,34,0,15,0,0,0,0,0,2,2,1,1,1,1,0,0,1,0,0,0,1,1,506,0,5,511,0
146,117,272,281,0,0,0,0,111,0,4,2,1,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,2,680,0,0,680,0
147,118M,165,135,1,0,0,0,40,0,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,359,0,6,365,0
148,118A(W),174,148,2,0,0,1,22,1,20,1,0,0,0,3,3,2,0,0,0,1,0,0,0,1,0,0,1,0,380,0,7,387,0
149,119,209,126,0,0,0,0,32,0,21,1,0,0,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,396,0,5,401,0
150,120M,199,148,1,1,0,0,38,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,407,0,4,411,0
151,120A(W),179,165,0,0,0,0,25,0,14,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,390,0,6,396,0
152,121,358,229,1,0,0,0,62,1,34,2,1,0,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,2,700,0,5,705,0
153,122M,176,127,0,1,0,0,36,1,30,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,375,0,2,377,0
154,122A(W),184,141,1,0,0,1,17,0,26,6,0,0,0,1,0,0,1,2,0,1,0,0,0,1,1,0,2,0,385,0,0,385,0
155,123,304,174,0,0,0,0,49,0,40,1,0,0,0,2,1,0,1,0,1,0,0,0,1,1,0,0,1,1,577,0,5,582,0
156,124M,204,162,1,0,0,0,36,0,31,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,438,0,8,446,0
157,124A(W),194,167,2,0,0,0,24,0,46,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,439,0,5,444,0
158,125,332,239,1,0,0,0,55,0,34,1,1,1,0,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,671,0,12,683,0
159,126,317,275,1,1,0,1,43,1,17,2,2,1,1,2,2,5,0,2,3,1,1,1,1,1,0,0,0,0,681,0,6,687,0
160,127,271,302,1,0,0,0,45,1,13,3,1,0,1,2,0,1,4,1,0,0,0,0,0,2,0,0,1,0,649,0,9,658,0
