Polling Station No.,Building,Polling Areas
48,"I.C.Iswaran Pillai Govt.Boys Hr. Sec. School,East Side of North Main Building Room No. 3,Tenkasi.","1.Tenkasi (M) Sakthinagar Ward 1 Street 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
49,"I.C.Iswaran Pillai Govt.Boys Hr. Sec. School,North Side of Main Building Room No. 3,Tenkasi","1.Tenkasi (M) TNHB Colony Ward 1 Street 2 , 2.Tenkasi (M) Ward 1 Street 2 T N H B Colony , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
50,"Thiruvalluvar Primary School,Udayar Street,Main Building,Tenkasi","1.Tenkasi (m) Forth Street Ward 3 Street 2 , 2.Tenkasi (M) Railway Mettu Street Ward 2 Street 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
51,"Thiruvalluvar Primary School,Udayar Street,Eastern Building,Tenkasi","1.Tenkasi (M) Mangamma Salai Ward 2 Street 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
52,"Thiruvalluvar Primary School,Udayar Street,Western Building,Tenkasi","1.Tenkasi (m) Udaiyar Street Ward 2 Street 3 , 2.Tenkasi (M) Mangamma Salai Ward 2 Street 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
53,"Municipal community centre,Udayar street,Tenkasi","1.Tenkasi (M) Kalakodi Street Ward 3 Street 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
54,"Anganwadi Centre,Mangama Salai,Tenkasi","1.Tenkasi (M) Kalakodi Street Ward 3 Street 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
55,"Musthafia Middle School Seyad Kurukkal Pallivasal Street,Western Building Southern Portion,Tenkasi","1.Tenkasi (M) Paraiyadi Street Ward 10 Street 2 , 2.Tenkasi (M) Manakavalan Street Ward 10 Street 4 , 3.Tenkasi (M) Municipal Colony Ward 10 Street 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
56,"Musthafia Middle School,Seyad Kurukkal Pallivasal Street,Western Building,Northern Portion,Tenkasi","1.Tenkasi (m) Sornapuram Street Ward 19 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
57,"Hametheya Middle School,Main Building Western Portion,Tenkasi","1.Tenkasi (M) Ward 16 Seyad Kurukkal Pallivasal Street 2 , 2.Tenkasi (m) Ward 18 Seyad Kurukkal Pallivasal Street 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
