Sl. No,Polling Station No,R. SAVITHA,K. ANNADURAI DAVID,M. BHARANIRAJAN,M. PALANIKUMAR,A. MURUGESAN,EMAN,LARENEG V. RAJAMANI,EHT R. REVATHY,V. ARUMUGAM,S SROTCELE P. ILANGOVAN,OT S. PANDIYAN UKKRA,M. KARUNAKARAN,M. SHARMA THAYAL SANKAR,S. SEKAR,. K. PACKIYASELVI,R. BALAMURUGAN,M.M. PILLAI,MARDNUKNARAPURIHT S. MANIKANDAN,M.K. KADAR ABDUL MOHIDEEN,K.R. MURUGAN,M. GUNASEKARAN (A) RADHA,K. RAMACHANDRAN,ednet der,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
155,105(A),162,301,1,9,32,0,0,0,43,1,0,0,0,1,0,2,1,1,0,0,2,1,0,4,561,0,561,0
156,106,180,216,0,14,26,0,1,0,63,0,0,0,0,0,0,0,2,3,0,0,2,1,0,3,511,0,511,0
157,106(A),122,332,3,11,33,0,0,0,32,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,539,0,539,0
158,107,125,153,1,9,28,0,0,0,52,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,374,0,374,0
159,107(A),102,227,2,3,27,1,0,0,14,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,381,0,381,0
160,108,237,433,2,20,33,2,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,811,0,811,0
161,109,193,218,1,14,33,0,0,0,69,0,0,0,0,0,3,3,2,0,0,0,0,0,0,1,537,0,537,0
162,109(A),152,320,2,7,22,0,2,1,31,0,0,1,1,0,4,1,0,2,0,0,0,0,0,2,548,0,548,0
163,110,139,170,1,18,35,0,1,0,43,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,417,0,417,0
164,110(A),135,219,2,13,25,0,0,0,17,0,0,0,0,0,2,2,0,1,0,1,2,0,0,4,423,0,423,0
165,111,169,146,0,19,22,0,0,1,64,0,0,0,0,0,3,0,1,1,0,0,1,0,0,7,434,0,434,0
166,111(A),143,224,3,12,33,0,0,0,37,0,0,0,1,0,5,0,1,2,1,0,2,1,0,1,466,0,466,0
167,112,194,203,1,9,29,0,0,0,51,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,490,0,490,0
168,112(A),126,240,1,9,29,0,0,0,23,0,0,1,1,1,7,3,0,4,0,0,0,1,0,2,448,0,448,0
169,113,180,185,0,9,36,0,0,0,57,0,0,0,1,0,1,1,0,0,0,0,0,0,0,9,479,0,479,0
170,113(A),165,242,1,15,18,0,1,0,34,0,0,0,0,1,1,1,1,2,0,0,1,0,0,2,485,0,485,0
171,114,188,187,0,11,35,0,0,0,45,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,473,0,473,0
172,114(A),138,240,2,6,36,1,0,0,29,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,456,0,456,0
