Sl. No,Polling Station No,Sambathkumar .T DMK,"Palaniswami, K. Edappadi AIADMK",A. Jamuna BSP,"IPA P. Eswari, Worker Social",PIM K.N. Gunasekaran,KMRGM S. Suriyamoorthy,D. Thasapparaj MNM,"N. Sekar, Pookadai AMMK",Dhesiya KM C. Mani,KIT R. Manikandan,Shrirathna NTK,"N Sriramachandran, Agni IND",N. Eswaramurthy IND,P. Eswaramoorthy IND,P. Iyyappan IND,V. Kathiravan IND,L. Kathiresan IND,M. Guheshkumar IND,G. Shanmugam IND,G. Sownthararajan IND,K. Dr.Padmarajan IND,A. Palanisamy IND,J. Balasubramaniam IND,M. Balamurugan IND,M. Murugan IND,G. Lakshmi IND,S. Loganathan IND,A. Stalin IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
128,104,217,452,6,0,0,0,5,14,0,1,44,1,1,1,2,5,1,2,0,0,1,0,0,0,0,0,1,2,756,7,0,763
129,105,201,501,0,0,0,0,3,3,0,1,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,736,3,0,739
130,106M,155,354,1,0,1,0,1,6,0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,543,3,0,546
131,106A(W),120,338,1,0,0,0,1,4,0,0,2,1,0,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,477,0,0,477
132,107,190,542,0,0,0,1,6,1,0,0,26,0,0,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,776,0,0,776
133,108,238,463,4,0,0,2,0,1,0,1,12,0,0,0,0,2,5,1,2,0,0,0,0,0,0,1,2,0,734,2,0,736
134,109M,175,302,2,0,0,0,0,1,0,0,16,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,503,3,0,506
135,109A(W),132,297,3,1,0,0,2,2,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,442,0,0,442
136,110M,182,312,0,0,2,0,0,8,0,1,14,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,525,3,0,528
137,110A(W),131,341,2,0,0,0,0,5,0,1,5,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,491,1,0,492
138,111,135,610,5,0,0,0,1,1,1,1,36,3,0,0,0,4,1,2,2,3,0,0,0,0,0,2,0,0,807,1,0,808
