Sl. No,Polling Station No,"M.SUBRAMANIAN,(Alias)RAVICPI","M. SELVAKUMAR, DMDK","K.N. VIJEYAKUMAR, AIADMK","B. ALAGUSUNDARAM, KDA","S.EASWARAN,NTK","S.SIVABALAN,MNM","V. SENTHILKUMAR, MDATPA K","K. DEIVASIGAMANI, KMTE","S. UDHAYAKUMAR, IND","T.N. SENTHILKUMAR, IND","R. SENTHILKUMAR, IND","A. SENTHILVEL, IND","S. MURUGAPANDI, IND","M.RANGASAMY,IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
180,125,1,268,10,240,1,52,27,1,0,56,0,0,0,0,1,657,0,5,662,0
181,126,0,170,28,339,2,79,40,1,0,16,1,1,0,1,2,680,0,7,687,0
182,127,0,180,15,311,1,101,58,3,1,3,0,0,0,1,0,674,0,4,678,0
183,128,1,133,11,130,0,50,28,0,0,5,1,0,0,0,0,359,0,1,360,0
184,128A,0,138,9,309,2,51,38,3,2,2,0,1,1,0,0,556,0,7,563,0
185,129,2,120,7,254,0,23,17,1,0,0,0,0,2,1,1,428,0,1,429,0
186,129A,1,114,7,229,8,45,25,5,0,0,0,0,1,0,1,436,0,9,445,0
187,130,3,178,21,252,1,113,66,57,0,3,0,0,0,0,2,696,0,10,706,0
188,131,0,171,9,285,2,67,56,16,0,2,0,1,0,0,0,609,0,4,613,0
189,132,0,161,13,274,1,73,48,15,0,0,0,1,0,0,0,586,0,4,590,0
190,133,1,121,5,263,3,38,14,0,1,0,0,1,0,0,0,447,0,3,450,0
191,133A,3,183,8,201,0,71,18,0,0,3,0,0,0,3,1,491,0,1,492,0
192,134,1,144,3,241,1,69,27,1,0,1,0,0,1,0,1,490,0,6,496,0
193,135,0,87,8,174,0,34,34,1,0,0,0,1,0,1,0,340,0,1,341,0
194,135A,2,112,3,146,2,63,24,3,0,1,0,0,1,0,1,358,0,2,360,0
195,136,2,187,7,322,1,130,63,1,0,2,1,0,1,2,0,719,0,9,728,0
196,137,0,119,5,158,0,28,34,2,0,0,0,0,0,0,0,346,0,1,347,0
197,137A,0,116,6,178,0,43,34,2,0,0,0,1,0,1,0,381,0,1,382,0
198,138,0,128,2,234,2,52,46,1,0,0,0,0,0,0,0,465,0,2,467,0
199,138A,0,121,2,180,0,55,41,1,0,3,0,0,0,0,0,403,0,2,405,0
200,139,1,118,5,181,1,42,33,2,0,0,0,0,0,1,0,384,0,5,389,0
201,139A,0,127,2,168,2,41,37,1,0,0,0,0,0,0,0,378,0,4,382,0
202,140,0,96,1,175,0,31,31,1,0,0,0,0,1,0,0,336,0,3,339,0
203,140A,0,98,8,173,2,36,45,0,0,0,0,0,1,0,0,363,0,5,368,0
204,141,0,148,7,244,3,71,47,4,0,2,0,0,2,1,1,530,0,10,540,0
205,142,0,68,2,164,1,33,17,1,0,0,0,0,0,2,0,288,0,4,292,0
206,142A,1,108,5,180,0,37,41,2,0,0,0,1,0,1,0,376,0,3,379,0
207,143,2,97,2,230,2,33,19,1,0,0,0,0,0,0,1,387,0,1,388,0
208,143A,1,118,6,160,1,61,46,2,0,0,0,0,0,0,0,395,0,5,400,0
209,144,0,91,2,144,1,25,27,1,0,1,0,0,0,0,0,292,0,0,292,0
210,144A,0,119,3,170,0,30,25,3,0,0,0,0,0,0,1,351,0,2,353,0
211,145,1,143,7,173,0,56,51,2,0,2,0,0,0,0,3,438,0,2,440,0
212,145A,1,74,3,80,0,29,35,0,0,1,0,1,0,0,0,224,0,2,226,0
213,146,0,99,6,156,0,42,31,0,0,0,0,0,0,0,0,334,0,7,341,0
214,146A,3,136,4,180,2,33,44,2,0,0,0,1,0,0,1,406,0,6,412,0
215,147,1,131,7,164,1,50,43,2,0,0,0,0,1,0,0,400,0,4,404,0
216,147A,4,148,5,178,0,40,33,0,0,0,0,0,1,0,1,410,0,5,415,0
217,148,0,192,5,222,1,80,53,0,0,0,0,1,1,0,1,556,0,6,562,0
218,149,0,125,3,157,0,40,19,1,0,0,0,0,0,0,0,345,0,3,348,0
219,149A,1,112,4,149,1,43,36,1,0,0,0,0,0,0,0,347,0,3,350,0
220,150,0,139,4,189,0,41,50,0,0,0,1,0,1,0,0,425,0,2,427,0
221,150A,0,83,5,92,0,29,31,0,0,0,0,0,0,0,0,240,0,0,240,0
222,151,2,165,6,230,1,71,48,0,0,1,0,0,0,0,0,524,0,6,530,0
223,152,2,212,7,187,0,59,70,0,0,2,0,0,1,1,0,541,0,5,546,0
224,153,0,139,11,179,0,73,45,0,1,0,2,0,1,0,0,451,0,3,454,0
225,154,1,91,3,126,0,40,30,1,1,0,0,0,1,1,0,295,0,5,300,0
226,154A,2,123,4,121,1,56,33,0,1,0,0,0,0,0,2,343,0,3,346,0
227,155,1,121,10,128,2,25,29,0,0,0,1,0,1,2,0,320,0,1,321,0
228,155A,0,83,4,126,0,47,30,0,1,0,0,0,0,0,0,291,0,5,296,0
229,156,0,163,13,206,0,38,50,0,0,0,0,0,1,0,0,471,0,6,477,0
230,157,0,172,8,222,1,54,41,0,1,2,0,0,0,2,1,504,0,4,508,0
231,158,0,152,7,192,0,40,23,1,1,1,0,0,0,0,1,418,0,3,421,0
232,158A,0,180,5,208,0,67,42,1,0,1,1,0,0,0,0,505,0,5,510,0
233,159,0,212,9,323,1,83,60,2,0,0,2,0,0,0,1,693,0,10,703,0
234,160,1,207,15,291,2,53,55,0,0,0,0,0,1,2,0,627,0,7,634,0
235,160A,0,99,3,174,0,30,29,0,0,0,0,1,0,2,0,338,0,2,340,0
236,161,1,114,3,203,1,42,22,1,0,0,1,1,0,0,0,389,0,1,390,0
237,161A,0,113,9,214,1,45,57,0,0,0,0,0,0,0,3,442,0,4,446,0
