Sl. No,Polling Station No,NACHIMUTHU S Samaj Party) (Bahujan,MOORTHI.K SIVABALA Mahasabha) Bharat Hindu (Akhil,THANGAVEL.B Party) India (My,POOVENDHAN .T Needhi Maiam) (Makkal,RAJASEKARAN VINOTH .G Tamilar Katchi) (Namm,AZHAGUMALA I.A (Independent,ANANTHAN S.P (Independent),KARUPPUSAM Y.P (Independent),KALIAPPAN.K (Independent),HAMEED SHAHUL (Independent),GOUNDER.P SAMIAPPA (Independent),SIDDIQ.M (Independent),SUDHA.R.B (Independent),SURESH.M (Independent),THANGAVEL.A (Independent),NAGENDRAN. G (Independent),PANDEESWAR AN.M (Independent),PERIYADURAI. M (Independent),MUNISHRAJA. M (Independent),SAHABUDEEN RASULBEEVI (Independent),LATHIKA (Independent),Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
88,72 M,156,0,164,2,0,18,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,364,0,2,366,0
89,72A(W),200,0,150,1,0,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,2,379,0
90,73,238,2,178,2,0,9,10,2,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,1,450,0,3,453,0
91,74 M,180,0,170,1,1,17,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,3,393,0
92,74A(W),215,1,168,2,0,16,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,414,0,1,415,0
93,75,276,0,238,1,1,19,12,1,0,0,0,0,0,0,0,1,0,0,6,1,0,1,0,0,557,0,4,561,0
94,76,279,1,327,1,0,21,36,3,0,0,0,0,0,2,0,1,0,0,2,1,1,0,0,0,675,0,4,679,0
95,77 M,196,1,121,2,0,18,29,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,371,0,2,373,0
96,77A(W),171,0,152,1,0,21,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,2,356,0
97,78,265,1,225,1,0,26,25,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,546,0,11,557,0
